,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,新潟１区
,,開票所名,,,,計,新潟市北区１区,新潟市東区,新潟市中央区,新潟市江南区１区,新潟市西区１区
,,有権者数,,,,434016,22111,114734,148572,17419,131180
,,投票率,(％),,,57.25,53.52,54.44,58.70,57.01,58.73

,,投票者数,,,,248483,11834,62463,87208,9930,77048
,,無効票＋他,,,,6194,250,1510,2367,220,1847
,,有効票,,,,242289,11584,60953,84841,9710,75201

当,重複,西村智奈美,立民,前,54歳,127365,6101,32554,43112,4959,40639
,,得票率,(％),,,52.57,52.67,53.41,50.82,51.07,54.04
,重複,塚田一郎,自民,新,57歳,96591,4611,23195,35264,3945,29576
,,得票率,(％),,,39.87,39.80,38.05,41.56,40.63,39.33
,重複,石崎徹,維新,元,37歳,18333,872,5204,6465,806,4986
,,得票率,(％),,,7.57,7.53,8.54,7.62,8.30,6.63


,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,新潟２区
,,開票所名,,,,計,新潟市南区２区,新潟市西区２区,新潟市西蒲区,長岡市２区,柏崎市,燕市,佐渡市,弥彦村,出雲崎町,刈羽村
,,有権者数,,,,288107,6307,369,47800,37334,69507,66816,45804,6708,3728,3734
,,投票率,(％),,,62.66,56.86,60.70,57.16,63.37,63.47,63.22,64.23,70.86,68.40,71.42

,,投票者数,,,,180536,3586,224,27321,23660,44119,42238,29418,4753,2550,2667
,,無効票＋他,,,,4554,87,13,726,687,1225,969,575,137,79,56
,,有効票,,,,175982,3499,211,26595,22973,42894,41269,28843,4616,2471,2611

当,重複,細田健一,自民,前,57歳,105426,2170,139,14692,14079,26397,23512,18978,2065,1644,1750
,,得票率,(％),,,59.91,62.02,65.88,55.24,61.28,61.54,56.97,65.80,44.74,66.53,67.02
,重複,高倉栄,国民,新,50歳,37157,702,41,6013,4389,6939,11893,4407,1955,452,366
,,得票率,(％),,,21.11,20.06,19.43,22.61,19.11,16.18,28.82,15.28,42.35,18.29,14.02
,重複,平あや子,共産,新,41歳,33399,627,31,5890,4505,9558,5864,5458,596,375,495
,,得票率,(％),,,18.98,17.92,14.69,22.15,19.61,22.28,14.21,18.92,12.91,15.18,18.96


,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,新潟３区
,,開票所名,,,,計,新潟市北区３区,新発田市,村上市,五泉市,阿賀野市,胎内市,聖籠町,阿賀町,関川村,粟島浦村
,,有権者数,,,,298289,39606,81432,50297,41884,35265,24316,11368,9231,4596,294
,,投票率,(％),,,65.04,59.82,64.40,68.21,63.12,64.84,67.53,64.00,75.54,72.82,85.37

,,投票者数,,,,194013,23694,52442,34306,26436,22867,16421,7276,6973,3347,251
,,無効票＋他,,,,2705,422,754,436,350,276,195,127,101,38,6
,,有効票,,,,191308,23272,51688,33870,26086,22591,16226,7149,6872,3309,245

当,重複,斎藤洋明,自民,前,44歳,102564,11380,26406,19868,13434,12323,9136,3977,3770,2094,176
,,得票率,(％),,,53.61,48.90,51.09,58.66,51.50,54.55,56.30,55.63,54.86,63.28,71.84
,重複,黒岩宇洋,立民,前,55歳,88744,11892,25282,14002,12652,10268,7090,3172,3102,1215,69
,,得票率,(％),,,46.39,51.10,48.91,41.34,48.50,45.45,43.70,44.37,45.14,36.72,28.16


,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,新潟４区
,,開票所名,,,,計,新潟市江南区４区,新潟市秋葉区,新潟市南区４区,長岡市４区,三条市,加茂市,見附市,田上町
,,有権者数,,,,307471,39847,64546,31068,24144,81248,22693,33953,9972
,,投票率,(％),,,64.17,56.96,60.56,57.37,66.39,69.14,68.82,67.75,68.77

,,投票者数,,,,197296,22698,39092,17823,16029,56177,15617,23002,6858
,,無効票＋他,,,,2546,320,477,231,225,723,205,282,83
,,有効票,,,,194750,22378,38615,17592,15804,55454,15412,22720,6775

当,重複,菊田真紀子,立民,前,52歳,97494,11588,21359,9209,8404,23689,8094,11785,3366
,,得票率,(％),,,50.06,51.78,55.31,52.35,53.18,42.72,52.52,51.87,49.68
,重複,国定勇人,自民,新,49歳,97256,10790,17256,8383,7400,31765,7318,10935,3409
,,得票率,(％),,,49.94,48.22,44.69,47.65,46.82,57.28,47.48,48.13,50.32


,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,新潟５区
,,開票所名,,,,計,長岡市５区,小千谷市,魚沼市,南魚沼市,湯沢町
,,有権者数,,,,275224,162928,29349,29940,46004,7003
,,投票率,(％),,,65.20,62.71,70.42,71.27,66.91,64.07

,,投票者数,,,,179452,102175,20669,21338,30783,4487
,,無効票＋他,,,,2746,1533,335,281,510,87
,,有効票,,,,176706,100642,20334,21057,30273,4400

当,,米山隆一,無,新,54歳,79447,41725,9812,11743,14109,2058
,,得票率,(％),,,44.96,41.46,48.25,55.77,46.61,46.77
,重複,泉田裕彦,自民,前,59歳,60837,30959,8025,7597,12528,1728
,,得票率,(％),,,34.43,30.76,39.47,36.08,41.38,39.27
,,森民夫,無,新,72歳,36422,27958,2497,1717,3636,614
,,得票率,(％),,,20.61,27.78,12.28,8.15,12.01,13.95


,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,新潟６区
,,開票所名,,,,計,十日町市,糸魚川市,妙高市,上越市,津南町
,,有権者数,,,,272966,43702,35464,26728,159135,7937
,,投票率,(％),,,67.79,69.75,71.83,67.70,66.13,72.63

,,投票者数,,,,185056,30480,25475,18096,105240,5765
,,無効票＋他,,,,2117,402,304,189,1146,76
,,有効票,,,,182939,30078,25171,17907,104094,5689

当,重複,梅谷守,立民,新,47歳,90679,13877,9927,9198,55134,2543
,,得票率,(％),,,49.57,46.14,39.44,51.37,52.97,44.70
,重複,高鳥修一,自民,前,61歳,90549,15954,15051,8541,47895,3108
,,得票率,(％),,,49.50,53.04,59.80,47.70,46.01,54.63
,,神鳥古賛,無,新,53歳,1711,247,193,168,1065,38
,,得票率,(％),,,0.94,0.82,0.77,0.94,1.02,0.67


