,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,鹿児島１区
,,開票所名,,,,計,鹿児島市１区,三島村,十島村
,,有権者数,,,,358070,357272,283,515
,,投票率,(％),,,54.10,54.04,84.45,83.30

,,投票者数,,,,193720,193052,239,429
,,無効票＋他,,,,3237,3212,8,17
,,有効票,,,,190483,189840,231,412

当,重複,宮路拓馬,自民,前,41歳,101251,100831,153,267
,,得票率,(％),,,53.15,53.11,66.23,64.81
,重複,川内博史,立民,前,59歳,89232,89009,78,145
,,得票率,(％),,,46.85,46.89,33.77,35.19


,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,鹿児島２区
,,開票所名,,,,計,鹿児島市２区,枕崎市,指宿市,南さつま市,奄美市,南九州市,大和村,宇検村,瀬戸内町,龍郷町,喜界町,徳之島町,天城町,伊仙町,和泊町,知名町,与論町
,,有権者数,,,,337186,140833,17294,33376,28075,35290,28736,1240,1477,7423,4937,5782,8512,4752,5282,5180,4728,4269
,,投票率,(％),,,58.58,51.49,56.60,60.24,60.66,65.19,58.14,78.31,83.75,73.51,70.49,72.47,68.23,71.84,72.40,71.45,69.44,70.91

,,投票者数,,,,197538,72508,9788,20107,17029,23006,16708,971,1237,5457,3480,4190,5808,3414,3824,3701,3283,3027
,,無効票＋他,,,,3371,1387,147,354,260,375,226,12,27,118,59,66,65,58,72,45,57,43
,,有効票,,,,194167,71121,9641,19753,16769,22631,16482,959,1210,5339,3421,4124,5743,3356,3752,3656,3226,2984

当,,三反園訓,無,新,63歳,92614,37215,4790,12670,8532,9218,9352,307,296,1271,1439,1250,1439,692,1073,1332,953,785
,,得票率,(％),,,47.70,52.33,49.68,64.14,50.88,40.73,56.74,32.01,24.46,23.81,42.06,30.31,25.06,20.62,28.60,36.43,29.54,26.31
,,金子万寿夫,自民,前,74歳,80469,23678,3933,5462,6318,11184,5657,574,845,3695,1667,2591,3853,2493,2479,2063,2033,1944
,,得票率,(％),,,41.44,33.29,40.79,27.65,37.68,49.42,34.32,59.85,69.83,69.21,48.73,62.83,67.09,74.28,66.07,56.43,63.02,65.15
,重複,松崎真琴,共産,新,63歳,21084,10228,918,1621,1919,2229,1473,78,69,373,315,283,451,171,200,261,240,255
,,得票率,(％),,,10.86,14.38,9.52,8.21,11.44,9.85,8.94,8.13,5.70,6.99,9.21,6.86,7.85,5.10,5.33,7.14,7.44,8.55


,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,鹿児島３区
,,開票所名,,,,計,阿久根市,出水市,薩摩川内市１,薩摩川内市２,日置市,いちき串木野市,伊佐市,姶良市,さつま町,長島町,湧水町
,,有権者数,,,,318530,16884,43409,73705,3599,39658,22979,21219,63927,17131,8314,7705
,,投票率,(％),,,61.39,62.88,57.20,59.87,72.13,61.08,69.02,61.77,58.65,66.14,75.66,65.71

,,投票者数,,,,195543,10616,24829,44129,2596,24224,15861,13108,37496,11331,6290,5063
,,無効票＋他,,,,2380,123,361,453,24,254,200,189,576,84,77,39
,,有効票,,,,193163,10493,24468,43676,2572,23970,15661,12919,36920,11247,6213,5024

当,重複,野間健,立民,元,63歳,104053,5002,12105,26153,1148,13415,9154,6667,20130,5939,2025,2315
,,得票率,(％),,,53.87,47.67,49.47,59.88,44.63,55.97,58.45,51.61,54.52,52.81,32.59,46.08
,重複,小里泰弘,自民,前,63歳,89110,5491,12363,17523,1424,10555,6507,6252,16790,5308,4188,2709
,,得票率,(％),,,46.13,52.33,50.53,40.12,55.37,44.03,41.55,48.39,45.48,47.19,67.41,53.92


,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,鹿児島４区
,,開票所名,,,,計,鹿屋市,西之表市,垂水市,曽於市,霧島市,志布志市,大崎町,東串良町,錦江町,南大隅町,肝付町,中種子町,南種子町,屋久島町
,,有権者数,,,,325670,82525,12558,12243,29437,102270,25063,10581,5324,6105,5926,12437,6520,4645,10036
,,投票率,(％),,,57.16,52.62,64.33,63.90,68.22,53.00,56.20,59.59,55.88,66.60,68.11,56.65,66.66,66.63,65.74

,,投票者数,,,,186161,43426,8079,7823,20082,54198,14086,6305,2975,4066,4036,7046,4346,3095,6598
,,無効票＋他,,,,3335,812,97,101,436,1060,217,71,43,51,51,118,59,40,179
,,有効票,,,,182826,42614,7982,7722,19646,53138,13869,6234,2932,4015,3985,6928,4287,3055,6419

当,,森山裕,自民,前,76歳,127131,29401,4950,6112,15303,33922,10369,4735,2129,3201,3041,4682,3172,2159,3955
,,得票率,(％),,,69.54,68.99,62.01,79.15,77.89,63.84,74.76,75.95,72.61,79.73,76.31,67.58,73.99,70.67,61.61
,重複,米永淳子,社民,新,58歳,49077,11692,2809,1459,3670,16650,3025,1337,720,720,866,2089,983,791,2266
,,得票率,(％),,,26.84,27.44,35.19,18.89,18.68,31.33,21.81,21.45,24.56,17.93,21.73,30.15,22.93,25.89,35.30
,,宮川直輝,Ｎ党,新,48歳,6618,1521,223,151,673,2566,475,162,83,94,78,157,132,105,198
,,得票率,(％),,,3.62,3.57,2.79,1.96,3.43,4.83,3.42,2.60,2.83,2.34,1.96,2.27,3.08,3.44,3.08


