,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,宮城１区
,,開票所名,,,,計,仙台市青葉区,仙台市太白区１区
,,有権者数,,,,439697,247218,192479
,,投票率,(％),,,54.60,55.37,53.62

,,投票者数,,,,240085,136887,103198
,,無効票＋他,,,,5265,3037,2228
,,有効票,,,,234820,133850,100970

当,重複,土井亨,自民,前,63歳,101964,59526,42438
,,得票率,(％),,,43.42,44.47,42.03
,重複,岡本章子,立民,前,57歳,96649,52348,44301
,,得票率,(％),,,41.16,39.11,43.88
,重複,春藤沙弥香,維新,新,40歳,23033,13452,9581
,,得票率,(％),,,9.81,10.05,9.49
,,大草芳江,無,新,39歳,13174,8524,4650
,,得票率,(％),,,5.61,6.37,4.61


,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,宮城２区
,,開票所名,,,,計,仙台市宮城野区,仙台市若林区,仙台市泉区
,,有権者数,,,,455409,160192,115767,179450
,,投票率,(％),,,53.62,50.73,52.05,57.20

,,投票者数,,,,244176,81271,60251,102654
,,無効票＋他,,,,6586,2276,1750,2560
,,有効票,,,,237590,78995,58501,100094

当,重複,鎌田さゆり,立民,元,56歳,116320,36972,28205,51143
,,得票率,(％),,,48.96,46.80,48.21,51.09
,重複,秋葉賢也,自民,前,59歳,115749,40019,28826,46904
,,得票率,(％),,,48.72,50.66,49.27,46.86
,重複,林マリアゆき,Ｎ党,新,47歳,5521,2004,1470,2047
,,得票率,(％),,,2.32,2.54,2.51,2.05


,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,宮城３区
,,開票所名,,,,計,仙台市太白区３区,白石市,名取市,角田市,岩沼市,蔵王町,七ヶ宿町,大河原町,村田町,柴田町,川崎町,丸森町,亘理町,山元町
,,有権者数,,,,286936,3441,28454,64843,24049,36516,10003,1124,19831,9136,31886,7408,11139,28556,10550
,,投票率,(％),,,57.71,46.93,60.31,55.97,57.91,57.13,62.56,72.24,57.38,63.09,55.41,62.86,60.66,56.52,59.78

,,投票者数,,,,165600,1615,17161,36294,13926,20860,6258,812,11380,5764,17669,4657,6757,16140,6307
,,無効票＋他,,,,3263,108,335,730,214,390,96,15,189,107,326,124,168,346,115
,,有効票,,,,162337,1507,16826,35564,13712,20470,6162,797,11191,5657,17343,4533,6589,15794,6192

当,重複,西村明宏,自民,前,61歳,96210,784,9772,20276,8190,11796,3904,514,6674,3611,10237,3063,3991,9527,3871
,,得票率,(％),,,59.27,52.02,58.08,57.01,59.73,57.63,63.36,64.49,59.64,63.83,59.03,67.57,60.57,60.32,62.52
,重複,大野園子,立民,新,33歳,60237,664,6480,13703,5003,7808,2083,262,4239,1924,6513,1395,2262,5754,2147
,,得票率,(％),,,37.11,44.06,38.51,38.53,36.49,38.14,33.80,32.87,37.88,34.01,37.55,30.77,34.33,36.43,34.67
,,浅田晃司,無,新,74歳,5890,59,574,1585,519,866,175,21,278,122,593,75,336,513,174
,,得票率,(％),,,3.63,3.92,3.41,4.46,3.79,4.23,2.84,2.63,2.48,2.16,3.42,1.65,5.10,3.25,2.81


,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,宮城４区
,,開票所名,,,,計,塩釜市,多賀城市,富谷市,七ヶ浜町,利府町,大和町,大衡村,色麻町,加美町
,,有権者数,,,,237478,45843,51872,41846,15772,29577,23007,4705,5586,19270
,,投票率,(％),,,57.15,56.15,56.03,59.90,54.95,57.36,55.47,58.34,64.55,57.60

,,投票者数,,,,135714,25739,29066,25067,8666,16964,12762,2745,3606,11099
,,無効票＋他,,,,3495,607,825,561,231,394,399,105,75,298
,,有効票,,,,132219,25132,28241,24506,8435,16570,12363,2640,3531,10801

当,重複,伊藤信太郎,自民,前,68歳,74721,12983,16279,13592,5023,9056,7412,1716,2285,6375
,,得票率,(％),,,56.51,51.66,57.64,55.46,59.55,54.65,59.95,65.00,64.71,59.02
,重複,舩山由美,共産,新,53歳,30047,7539,6779,4828,1980,3646,2118,401,613,2143
,,得票率,(％),,,22.73,30.00,24.00,19.70,23.47,22.00,17.13,15.19,17.36,19.84
,重複,早坂敦,維新,新,50歳,27451,4610,5183,6086,1432,3868,2833,523,633,2283
,,得票率,(％),,,20.76,18.34,18.35,24.83,16.98,23.34,22.92,19.81,17.93,21.14


,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,宮城５区
,,開票所名,,,,計,石巻市,東松島市,大崎市５区,松島町,大郷町,涌谷町,美里町,女川町,南三陸町
,,有権者数,,,,252373,120058,33380,30140,11945,6734,13463,20666,5315,10672
,,投票率,(％),,,57.34,54.97,57.50,58.50,63.33,58.64,59.54,60.66,63.65,60.39

,,投票者数,,,,144722,66000,19194,17633,7565,3949,8016,12537,3383,6445
,,無効票＋他,,,,2279,886,300,296,177,64,127,251,55,123
,,有効票,,,,142443,65114,18894,17337,7388,3885,7889,12286,3328,6322

当,重複,安住淳,立民,前,59歳,81033,36584,10415,10213,4220,2140,4698,7810,1730,3223
,,得票率,(％),,,56.89,56.18,55.12,58.91,57.12,55.08,59.55,63.57,51.98,50.98
,重複,森下千里,自民,新,40歳,61410,28530,8479,7124,3168,1745,3191,4476,1598,3099
,,得票率,(％),,,43.11,43.82,44.88,41.09,42.88,44.92,40.45,36.43,48.02,49.02


,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,宮城６区
,,開票所名,,,,計,気仙沼市,登米市,栗原市,大崎市６区
,,有権者数,,,,253730,53256,65832,56782,77860
,,投票率,(％),,,57.38,59.49,56.72,61.61,53.41

,,投票者数,,,,145593,31680,37341,34986,41586
,,無効票＋他,,,,1966,382,439,469,676
,,有効票,,,,143627,31298,36902,34517,40910

当,重複,小野寺五典,自民,前,61歳,119555,27788,31452,28605,31710
,,得票率,(％),,,83.24,88.79,85.23,82.87,77.51
,,内藤隆司,共産,新,63歳,24072,3510,5450,5912,9200
,,得票率,(％),,,16.76,11.21,14.77,17.13,22.49


