,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,高知１区
,,開票所名,,,,計,高知市１区,室戸市,安芸市,南国市,香南市,香美市,東洋町,奈半利町,田野町,安田町,北川村,馬路村,芸西村,本山町,大豊町,土佐町,大川村
,,有権者数,,,,310468,171088,11345,14727,39321,27829,22226,2084,2726,2270,2273,1104,737,3071,2975,3115,3253,324
,,投票率,(％),,,53.50,52.34,49.70,50.59,50.74,55.58,60.11,56.09,55.47,60.57,58.51,67.30,70.56,54.09,65.08,64.43,66.92,75.62

,,投票者数,,,,166090,89547,5638,7451,19950,15468,13361,1169,1512,1375,1330,743,520,1661,1936,2007,2177,245
,,無効票＋他,,,,3103,1689,96,174,417,254,232,25,33,26,22,10,7,24,26,32,28,8
,,有効票,,,,162987,87858,5542,7277,19533,15214,13129,1144,1479,1349,1308,733,513,1637,1910,1975,2149,237

当,重複,中谷元,自民,前,64歳,104837,54944,4024,4725,12589,10057,8243,853,1025,853,990,541,375,1127,1333,1431,1531,196
,,得票率,(％),,,64.32,62.54,72.61,64.93,64.45,66.10,62.78,74.56,69.30,63.23,75.69,73.81,73.10,68.85,69.79,72.46,71.24,82.70
,重複,武内則男,立民,前,63歳,50033,28057,1269,2240,6022,4433,4348,253,386,418,272,163,129,439,528,486,553,37
,,得票率,(％),,,30.70,31.93,22.90,30.78,30.83,29.14,33.12,22.12,26.10,30.99,20.80,22.24,25.15,26.82,27.64,24.61,25.73,15.61
,重複,中島康治,Ｎ党,新,42歳,4081,2557,108,148,427,351,279,22,12,27,16,10,5,32,27,26,31,3
,,得票率,(％),,,2.50,2.91,1.95,2.03,2.19,2.31,2.13,1.92,0.81,2.00,1.22,1.36,0.97,1.95,1.41,1.32,1.44,1.27
,,川田永二,無,新,86歳,4036,2300,141,164,495,373,259,16,56,51,30,19,4,39,22,32,34,1
,,得票率,(％),,,2.48,2.62,2.54,2.25,2.53,2.45,1.97,1.40,3.79,3.78,2.29,2.59,0.78,2.38,1.15,1.62,1.58,0.42


,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,高知２区
,,開票所名,,,,計,高知市２区,土佐市,須崎市,宿毛市,土佐清水市,四万十市,いの町,仁淀川町,中土佐町,佐川町,越知町,梼原町,日高村,津野町,四万十町,大月町,三原村,黒潮町
,,有権者数,,,,287552,103275,22720,17858,17073,11529,28357,19413,4572,5691,10758,4770,2956,4362,4910,14275,4284,1322,9427
,,投票率,(％),,,61.50,55.00,59.65,61.08,66.23,71.78,65.38,63.10,69.97,62.52,62.20,64.05,80.14,62.40,72.28,67.25,72.60,80.56,66.64

,,投票者数,,,,176833,56800,13552,10907,11308,8275,18541,12250,3199,3558,6691,3055,2369,2722,3549,9600,3110,1065,6282
,,無効票＋他,,,,1637.017,544.001,133,96.001,103.001,87.001,193.001,91.001,24.001,14.001,58.001,33.001,23.001,37.001,35.001,83.001,30.001,3.001,50.001
,,有効票,,,,175195.983,56255.999,13419,10810.999,11204.999,8187.999,18347.999,12158.999,3174.999,3543.999,6632.999,3021.999,2345.999,2684.999,3513.999,9516.999,3079.999,1061.999,6231.999

当,重複,尾崎正直,自民,新,54歳,117810,36643,8986,7299,7674,4394,12548,8129,2419,2545,4570,2322,2028,1848,2662,6533,2164,701,4345
,,得票率,(％),,,67.24,65.14,66.96,67.51,68.49,53.66,68.39,66.86,76.19,71.81,68.90,76.84,86.45,68.83,75.75,68.65,70.26,66.01,69.72
,重複,広田一,立民,前,53歳,55214.803,18752.078,4243,3385.64,3414.272,3711.696,5579.391,3872.726,724.876,966.871,2002.766,674.783,298.879,800.783,828.918,2889.715,899.823,351.847,1816.739
,,得票率,(％),,,31.52,33.33,31.62,31.32,30.47,45.33,30.41,31.85,22.83,27.28,30.19,22.33,12.74,29.82,23.59,30.36,29.22,33.13,29.15
,,広田晋一郎,Ｎ党,新,52歳,2171.18,860.921,190,126.359,116.727,82.303,220.608,157.273,31.123,32.128,60.233,25.216,19.12,36.216,23.081,94.284,16.176,9.152,70.26
,,得票率,(％),,,1.24,1.53,1.42,1.17,1.04,1.01,1.20,1.29,0.98,0.91,0.91,0.83,0.82,1.35,0.66,0.99,0.53,0.86,1.13


