,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,沖縄１区
,,開票所名,,,,計,那覇市,渡嘉敷村,座間味村,粟国村,渡名喜村,南大東村,北大東村,久米島町
,,有権者数,,,,267939,258012,575,763,593,311,972,447,6266
,,投票率,(％),,,55.89,55.68,76.17,75.49,60.54,61.74,68.31,76.96,56.24

,,投票者数,,,,149746,143649,438,576,359,192,664,344,3524
,,無効票＋他,,,,3868,3752,14,16,8,4,7,2,65
,,有効票,,,,145878,139897,424,560,351,188,657,342,3459

当,重複,赤嶺政賢,共産,前,73歳,61519,59990,103,167,60,55,131,46,967
,,得票率,(％),,,42.17,42.88,24.29,29.82,17.09,29.26,19.94,13.45,27.96
,重複,國場幸之助,自民,前,48歳,54532,52031,230,283,137,120,443,245,1043
,,得票率,(％),,,37.38,37.19,54.25,50.54,39.03,63.83,67.43,71.64,30.15
,,下地幹郎,無,前,60歳,29827,27876,91,110,154,13,83,51,1449
,,得票率,(％),,,20.45,19.93,21.46,19.64,43.87,6.91,12.63,14.91,41.89


,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,沖縄２区
,,開票所名,,,,計,宜野湾市,浦添市,読谷村,嘉手納町,北谷町,北中城村,中城村,西原町
,,有権者数,,,,294848,78508,91519,32690,10583,22154,13986,17301,28107
,,投票率,(％),,,54.82,53.52,55.27,53.37,55.92,52.72,56.92,55.52,58.43

,,投票者数,,,,161629,42017,50580,17446,5918,11679,7961,9605,16423
,,無効票＋他,,,,4073,950,1334,480,162,288,174,286,399
,,有効票,,,,157556,41067,49246,16966,5756,11391,7787,9319,16024

当,重複,新垣邦男,社民,新,65歳,74665,18319,20199,8954,2489,6003,5323,5126,8252
,,得票率,(％),,,47.39,44.61,41.02,52.78,43.24,52.70,68.36,55.01,51.50
,重複,宮崎政久,自民,前,56歳,64542,18214,22063,6222,2741,4230,1895,3230,5947
,,得票率,(％),,,40.96,44.35,44.80,36.67,47.62,37.13,24.34,34.66,37.11
,重複,山川泰博,維新,新,51歳,15296,3883,5869,1409,440,933,447,789,1526
,,得票率,(％),,,9.71,9.46,11.92,8.30,7.64,8.19,5.74,8.47,9.52
,,中村幸也,Ｎ党,新,41歳,3053,651,1115,381,86,225,122,174,299
,,得票率,(％),,,1.94,1.59,2.26,2.25,1.49,1.98,1.57,1.87,1.87


,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,沖縄３区
,,開票所名,,,,計,名護市,沖縄市,うるま市,国頭村,大宜味村,東村,今帰仁村,本部町,恩納村,宜野座村,金武町,伊江村,伊平屋村,伊是名村
,,有権者数,,,,316908,50595,112311,99120,3909,2674,1502,7775,10836,8568,4829,9053,3692,977,1067
,,投票率,(％),,,54.00,56.81,52.49,52.29,58.81,57.59,64.98,58.39,56.37,53.50,66.25,55.09,53.79,67.66,66.45

,,投票者数,,,,171117,28743,58957,51828,2299,1540,976,4540,6108,4584,3199,4987,1986,661,709
,,無効票＋他,,,,2911,401,1184,824,41,18,21,84,100,69,38,81,25,11,14
,,有効票,,,,168206,28342,57773,51004,2258,1522,955,4456,6008,4515,3161,4906,1961,650,695

当,重複,島尻安伊子,自民,新,56歳,87710,14920,28904,26481,1427,653,530,2048,3475,2339,1809,2809,1322,488,505
,,得票率,(％),,,52.14,52.64,50.03,51.92,63.20,42.90,55.50,45.96,57.84,51.81,57.23,57.26,67.41,75.08,72.66
,重複,屋良朝博,立民,前,59歳,80496,13422,28869,24523,831,869,425,2408,2533,2176,1352,2097,639,162,190
,,得票率,(％),,,47.86,47.36,49.97,48.08,36.80,57.10,44.50,54.04,42.16,48.19,42.77,42.74,32.59,24.92,27.34


,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,沖縄４区
,,開票所名,,,,計,石垣市,糸満市,豊見城市,宮古島市,南城市,与那原町,南風原町,八重瀬町,多良間村,竹富町,与那国町
,,有権者数,,,,295455,39124,48343,50679,44786,36011,15540,30603,24712,813,3497,1347
,,投票率,(％),,,55.05,53.06,53.89,55.35,48.32,60.47,55.88,58.19,57.25,58.18,66.94,68.30

,,投票者数,,,,162653,20758,26054,28051,21641,21777,8683,17808,14147,473,2341,920
,,無効票＋他,,,,2951,312,545,528,445,333,158,313,231,9,65,12
,,有効票,,,,159702,20446,25509,27523,21196,21444,8525,17495,13916,464,2276,908

当,重複,西銘恒三郎,自民,前,67歳,87671,11041,14011,14235,12912,11937,4542,8913,7692,364,1371,653
,,得票率,(％),,,54.90,54.00,54.93,51.72,60.92,55.67,53.28,50.95,55.27,78.45,60.24,71.92
,重複,金城徹,立民,新,68歳,72031,9405,11498,13288,8284,9507,3983,8582,6224,100,905,255
,,得票率,(％),,,45.10,46.00,45.07,48.28,39.08,44.33,46.72,49.05,44.73,21.55,39.76,28.08


