,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,三重１区
,,開票所名,,,,計,津市,松阪市
,,有権者数,,,,359419,226378,133041
,,投票率,(％),,,54.88,55.53,53.77

,,投票者数,,,,197250,125716,71534
,,無効票＋他,,,,2642,1894,748
,,有効票,,,,194608,123822,70786

当,重複,田村憲久,自民,前,56歳,122772,74381,48391
,,得票率,(％),,,63.09,60.07,68.36
,重複,松田直久,立民,元,67歳,64507,44475,20032
,,得票率,(％),,,33.15,35.92,28.30
,重複,山田いずみ,Ｎ党,新,35歳,7329,4966,2363
,,得票率,(％),,,3.77,4.01,3.34


,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,三重２区
,,開票所名,,,,計,四日市市２区,鈴鹿市,名張市,亀山市,伊賀市
,,有権者数,,,,408281,71845,159856,64941,39478,72161
,,投票率,(％),,,54.86,50.85,53.94,57.66,55.57,57.98

,,投票者数,,,,223983,36535,86223,37445,21938,41842
,,無効票＋他,,,,4663,685,1667,1075,355,881
,,有効票,,,,219320,35850,84556,36370,21583,40961

当,重複,川崎秀人,自民,新,39歳,110155,16842,38111,21053,9888,24261
,,得票率,(％),,,50.23,46.98,45.07,57.89,45.81,59.23
,重複,中川正春,立民,前,71歳,109165,19008,46445,15317,11695,16700
,,得票率,(％),,,49.77,53.02,54.93,42.11,54.19,40.77


,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,三重３区
,,開票所名,,,,計,四日市市３区,桑名市,いなべ市,木曽岬町,東員町,菰野町,朝日町,川越町
,,有権者数,,,,414312,182681,114595,36598,4953,21093,33735,8397,12260
,,投票率,(％),,,55.31,53.06,55.16,59.17,57.96,59.35,60.04,60.94,53.68

,,投票者数,,,,229151,96937,63216,21654,2871,12519,20256,5117,6581
,,無効票＋他,,,,3254,1492,875,263,61,165,253,68,77
,,有効票,,,,225897,95445,62341,21391,2810,12354,20003,5049,6504

当,,岡田克也,立民,前,68歳,144688,61009,41786,14469,1777,8295,10145,3264,3943
,,得票率,(％),,,64.05,63.92,67.03,67.64,63.24,67.14,50.72,64.65,60.62
,重複,石原正敬,自民,新,49歳,81209,34436,20555,6922,1033,4059,9858,1785,2561
,,得票率,(％),,,35.95,36.08,32.97,32.36,36.76,32.86,49.28,35.35,39.38


,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,三重４区
,,開票所名,,,,計,伊勢市,尾鷲市,鳥羽市,熊野市,志摩市,多気町,明和町,大台町,玉城町,度会町,大紀町,南伊勢町,紀北町,御浜町,紀宝町
,,有権者数,,,,297008,104885,14898,15499,14202,42106,11870,19121,7688,12565,6811,7114,10824,13196,7158,9071
,,投票率,(％),,,60.76,60.15,60.06,59.51,63.95,57.12,61.89,58.40,67.07,58.73,61.39,68.77,61.23,70.04,63.20,61.12

,,投票者数,,,,180448,63085,8948,9224,9082,24050,7346,11167,5156,7379,4181,4892,6628,9242,4524,5544
,,無効票＋他,,,,2502,1075,126,100,119,259,81,136,58,85,54,54,99,132,60,64
,,有効票,,,,177946,62010,8822,9124,8963,23791,7265,11031,5098,7294,4127,4838,6529,9110,4464,5480

当,重複,鈴木英敬,自民,新,47歳,128753,42713,6531,7139,6681,18274,5178,7790,3604,4782,2969,3631,5237,6992,3250,3982
,,得票率,(％),,,72.36,68.88,74.03,78.24,74.54,76.81,71.27,70.62,70.69,65.56,71.94,75.05,80.21,76.75,72.80,72.66
,重複,坊農秀治,立民,新,49歳,41311,16349,1827,1548,2014,4542,1749,2822,1330,2267,1007,951,982,1679,1027,1217
,,得票率,(％),,,23.22,26.37,20.71,16.97,22.47,19.09,24.07,25.58,26.09,31.08,24.40,19.66,15.04,18.43,23.01,22.21
,,中川民英,共産,新,54歳,7882,2948,464,437,268,975,338,419,164,245,151,256,310,439,187,281
,,得票率,(％),,,4.43,4.75,5.26,4.79,2.99,4.10,4.65,3.80,3.22,3.36,3.66,5.29,4.75,4.82,4.19,5.13


