,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,山口１区
,,開票所名,,,,計,山口市１区,防府市,周南市１区
,,有権者数,,,,356209,153807,96482,105920
,,投票率,(％),,,48.50,49.04,47.40,48.72

,,投票者数,,,,172767,75423,45735,51609
,,無効票＋他,,,,3201,1414,826,961
,,有効票,,,,169566,74009,44909,50648

当,重複,高村正大,自民,前,50歳,118882,51550,32484,34848
,,得票率,(％),,,70.11,69.65,72.33,68.80
,重複,大内一也,立民,新,48歳,50684,22459,12425,15800
,,得票率,(％),,,29.89,30.35,27.67,31.20


,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,山口２区
,,開票所名,,,,計,下松市,岩国市,光市,柳井市,周南市２区,周防大島町,和木町,上関町,田布施町,平生町
,,有権者数,,,,283552,47053,110934,42726,26591,12692,13560,4868,2340,12791,9997
,,投票率,(％),,,51.61,48.29,50.24,53.48,54.04,48.64,60.22,50.27,65.17,55.67,52.42

,,投票者数,,,,146344,22720,55729,22851,14371,6174,8166,2447,1525,7121,5240
,,無効票＋他,,,,3494,562,1386,567,328,148,157,79,26,137,104
,,有効票,,,,142850,22158,54343,22284,14043,6026,8009,2368,1499,6984,5136

当,重複,岸信夫,自民,前,62歳,109914,17574,40820,17131,10848,4709,6380,1799,1172,5584,3897
,,得票率,(％),,,76.94,79.31,75.12,76.88,77.25,78.14,79.66,75.97,78.19,79.95,75.88
,,松田一志,共産,新,64歳,32936,4584,13523,5153,3195,1317,1629,569,327,1400,1239
,,得票率,(％),,,23.06,20.69,24.88,23.12,22.75,21.86,20.34,24.03,21.81,20.05,24.12


,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,山口３区
,,開票所名,,,,計,宇部市,山口市３区,萩市,美祢市,山陽小野田市,阿武町
,,有権者数,,,,256039,137060,4826,39614,20289,51463,2787
,,投票率,(％),,,50.14,47.22,56.53,55.61,61.15,47.56,72.44

,,投票者数,,,,128375,64716,2728,22031,12406,24475,2019
,,無効票＋他,,,,2319,989,53,646,233,354,44
,,有効票,,,,126056,63727,2675,21385,12173,24121,1975

当,重複,林芳正,自民,新,60歳,96983,48261,2175,17239,9897,17820,1591
,,得票率,(％),,,76.94,75.73,81.31,80.61,81.30,73.88,80.56
,重複,坂本史子,立民,新,66歳,29073,15466,500,4146,2276,6301,384
,,得票率,(％),,,23.06,24.27,18.69,19.39,18.70,26.12,19.44


,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,山口４区
,,開票所名,,,,計,下関市,長門市
,,有権者数,,,,244858,216424,28434
,,投票率,(％),,,48.64,47.41,58.02

,,投票者数,,,,119104,102607,16497
,,無効票＋他,,,,3724,3323,401
,,有効票,,,,115380,99284,16096

当,重複,安倍晋三,自民,前,67歳,80448,67086,13362
,,得票率,(％),,,69.72,67.57,83.01
,重複,竹村克司,れ新,新,49歳,19096,17711,1385
,,得票率,(％),,,16.55,17.84,8.60
,,大野頼子,無,新,47歳,15836,14487,1349
,,得票率,(％),,,13.73,14.59,8.38


