,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,岩手１区
,,開票所名,,,,計,盛岡市,紫波町,矢巾町
,,有権者数,,,,293290,242427,28116,22747
,,投票率,(％),,,58.81,58.38,60.35,61.42

,,投票者数,,,,172475,141535,16969,13971
,,無効票＋他,,,,2492,2137,205,150
,,有効票,,,,169983,139398,16764,13821

当,重複,階猛,立民,前,55歳,87017,72517,7820,6680
,,得票率,(％),,,51.19,52.02,46.65,48.33
,重複,高橋比奈子,自民,前,63歳,62666,50159,6758,5749
,,得票率,(％),,,36.87,35.98,40.31,41.60
,,吉田恭子,共産,新,40歳,20300,16722,2186,1392
,,得票率,(％),,,11.94,12.00,13.04,10.07


,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,岩手２区
,,開票所名,,,,計,宮古市,大船渡市,久慈市,遠野市,陸前高田市,釜石市,二戸市,八幡平市,滝沢市,雫石町,葛巻町,岩手町,住田町,大槌町,山田町,岩泉町,田野畑村,普代村,軽米町,野田村,九戸村,洋野町,一戸町
,,有権者数,,,,369715,43466,30244,28715,22417,16180,27790,22525,21674,46131,13891,5240,11050,4524,9789,13069,7697,2739,2231,7606,3554,4848,14041,10294
,,投票率,(％),,,60.28,61.17,64.98,57.73,60.86,67.17,61.72,55.10,55.80,57.77,59.80,57.5,58.13,67.26,60.39,65.59,61.21,70.43,71.85,56.26,66.32,58.04,57.70,59.83

,,投票者数,,,,222857,26586,19652,16577,13642,10868,17151,12411,12094,26652,8307,3013,6423,3043,5912,8572,4711,1929,1603,4279,2357,2814,8102,6159
,,無効票＋他,,,,3452,312,264,293,185,169,244,254,160,544,152,56,75,69,67,74,57,41,43,79,41,49,94,130
,,有効票,,,,219405,26274,19388,16284,13457,10699,16907,12157,11934,26108,8155,2957,6348,2974,5845,8498,4654,1888,1560,4200,2316,2765,8008,6029

当,重複,鈴木俊一,自民,前,68歳,149168,18868,12921,11068,8980,6859,9911,8166,8403,15754,5234,2293,4526,1986,4207,7217,3409,1445,1217,2891,1735,1891,5939,4248
,,得票率,(％),,,67.99,71.81,66.64,67.97,66.73,64.11,58.62,67.17,70.41,60.34,64.18,77.54,71.30,66.78,71.98,84.93,73.25,76.54,78.01,68.83,74.91,68.39,74.16,70.46
,重複,大林正英,立民,新,57歳,66689,7029,6127,4977,4235,3662,6742,3780,3326,9717,2787,631,1729,956,1559,1200,1182,423,315,1252,560,848,1963,1689
,,得票率,(％),,,30.40,26.75,31.60,30.56,31.47,34.23,39.88,31.09,27.87,37.22,34.18,21.34,27.24,32.15,26.67,14.12,25.40,22.40,20.19,29.81,24.18,30.67,24.51,28.01
,,荒川順子,Ｎ党,新,68歳,3548,377,340,239,242,178,254,211,205,637,134,33,93,32,79,81,63,20,28,57,21,26,106,92
,,得票率,(％),,,1.62,1.43,1.75,1.47,1.80,1.66,1.50,1.74,1.72,2.44,1.64,1.12,1.47,1.08,1.35,0.95,1.35,1.06,1.79,1.36,0.91,0.94,1.32,1.53


,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,岩手３区
,,開票所名,,,,計,花巻市,北上市,一関市,奥州市,西和賀町,金ケ崎町,平泉町
,,有権者数,,,,377117,80624,77850,97007,97534,4793,13043,6266
,,投票率,(％),,,61.71,61.79,60.56,59.00,63.49,77.32,66.40,67.38

,,投票者数,,,,232714,49821,47147,57235,61922,3706,8661,4222
,,無効票＋他,,,,4618,1076,969,976,1278,66,179,74
,,有効票,,,,228096,48745,46178,56259,60644,3640,8482,4148

当,重複,藤原崇,自民,前,38歳,118734,26448,26153,28552,28061,2812,4628,2080
,,得票率,(％),,,52.05,54.26,56.64,50.75,46.27,77.25,54.56,50.14
,重複,小沢一郎,立民,前,79歳,109362,22297,20025,27707,32583,828,3854,2068
,,得票率,(％),,,47.95,45.74,43.36,49.25,53.73,22.75,45.44,49.86


