,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,大分１区
,,開票所名,,,,計,大分市１区
,,有権者数,,,,385469,385469
,,投票率,(％),,,53.17,53.17

,,投票者数,,,,204950,204950
,,無効票＋他,,,,5795,5795
,,有効票,,,,199155,199155

当,,吉良州司,無,前,63歳,97117,97117
,,得票率,(％),,,48.76,48.76
,重複,高橋舞子,自民,新,33歳,75932,75932
,,得票率,(％),,,38.13,38.13
,,山下魁,共産,新,44歳,15889,15889
,,得票率,(％),,,7.98,7.98
,,西宮重貴,無,新,43歳,6216,6216
,,得票率,(％),,,3.12,3.12
,,野中美咲,Ｎ党,新,25歳,4001,4001
,,得票率,(％),,,2.01,2.01


,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,大分２区
,,開票所名,,,,計,大分市２区,日田市,佐伯市,臼杵市,津久見市,竹田市,豊後大野市,由布市,九重町,玖珠町
,,有権者数,,,,267779,11138,53427,59596,32218,14673,18085,29888,28285,7764,12705
,,投票率,(％),,,60.45,55.76,63.88,58.55,60.17,61.63,59.40,59.04,58.65,64.14,64.94

,,投票者数,,,,161866,6210,34129,34892,19387,9043,10742,17645,16588,4980,8250
,,無効票＋他,,,,3654,146,798,895,314,153,250,395,410,129,164
,,有効票,,,,158212,6064,33331,33997,19073,8890,10492,17250,16178,4851,8086

当,,衛藤征士郎,自民,前,80歳,79433,2869,17383,17589,8657,4476,5144,8426,8152,2412,4325
,,得票率,(％),,,50.21,47.31,52.15,51.74,45.39,50.35,49.03,48.85,50.39,49.72,53.49
,重複,吉川元,立民,前,55歳,78779,3195,15948,16408,10416,4414,5348,8824,8026,2439,3761
,,得票率,(％),,,49.79,52.69,47.85,48.26,54.61,49.65,50.97,51.15,49.61,50.28,46.51


,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,大分３区
,,開票所名,,,,計,別府市,中津市,豊後高田市,杵築市,宇佐市,国東市,姫島村,日出町
,,有権者数,,,,301700,95873,68512,18689,23993,45966,23477,1724,23466
,,投票率,(％),,,59.67,58.18,58.25,64.31,58.49,60.67,63.15,82.37,60.31

,,投票者数,,,,180022,55779,39905,12019,14034,27886,14826,1420,14153
,,無効票＋他,,,,4056,1504,976,239,254,506,232,28,317
,,有効票,,,,175966,54275,38929,11780,13780,27380,14594,1392,13836

当,重複,岩屋毅,自民,前,64歳,102807,32972,22810,6923,8095,14273,8662,1200,7872
,,得票率,(％),,,58.42,60.75,58.59,58.77,58.74,52.13,59.35,86.21,56.90
,重複,横光克彦,立民,前,77歳,73159,21303,16119,4857,5685,13107,5932,192,5964
,,得票率,(％),,,41.58,39.25,41.41,41.23,41.26,47.87,40.65,13.79,43.10


