,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,愛媛１区
,,開票所名,,,,計,松山市１区
,,有権者数,,,,385321,385321
,,投票率,(％),,,52.10,52.10

,,投票者数,,,,200748,200748
,,無効票＋他,,,,4024,4024
,,有効票,,,,196724,196724

当,重複,塩崎彰久,自民,新,45歳,119633,119633
,,得票率,(％),,,60.81,60.81
,重複,友近聡朗,立民,新,46歳,77091,77091
,,得票率,(％),,,39.19,39.19


,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,愛媛２区
,,開票所名,,,,計,松山市２区,今治市,東温市,上島町,松前町,砥部町
,,有権者数,,,,249121,41596,130957,28044,5498,25533,17493
,,投票率,(％),,,52.73,49.83,51.24,54.68,71.59,56.34,56.42

,,投票者数,,,,131354,20729,67099,15335,3936,14386,9869
,,無効票＋他,,,,4615,681,2591,469,99,480,295
,,有効票,,,,126739,20048,64508,14866,3837,13906,9574

当,重複,村上誠一郎,自民,前,69歳,72861,11448,37358,8117,2566,7857,5515
,,得票率,(％),,,57.49,57.10,57.91,54.60,66.88,56.50,57.60
,重複,石井智恵,国民,新,53歳,42520,6951,21187,5235,1051,4926,3170
,,得票率,(％),,,33.55,34.67,32.84,35.21,27.39,35.42,33.11
,,片岡朗,共産,新,62歳,11358,1649,5963,1514,220,1123,889
,,得票率,(％),,,8.96,8.23,9.24,10.18,5.73,8.08,9.29


,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,愛媛３区
,,開票所名,,,,計,新居浜市,西条市,四国中央市
,,有権者数,,,,260288,98344,89974,71970
,,投票率,(％),,,57.42,55.78,57.61,59.42

,,投票者数,,,,149455,54860,51834,42761
,,無効票＋他,,,,1592,593,566,433
,,有効票,,,,147863,54267,51268,42328

当,重複,井原巧,自民,新,57歳,76263,26277,23087,26899
,,得票率,(％),,,51.58,48.42,45.03,63.55
,重複,白石洋一,立民,前,58歳,71600,27990,28181,15429
,,得票率,(％),,,48.42,51.58,54.97,36.45


,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,愛媛４区
,,開票所名,,,,計,宇和島市,八幡浜市,大洲市,伊予市,西予市,久万高原町,内子町,伊方町,松野町,鬼北町,愛南町
,,有権者数,,,,246664,62552,28114,35516,30666,31450,6987,13763,7865,3282,8418,18051
,,投票率,(％),,,59.16,56.49,57.36,54.92,56.97,61.87,64.25,59.48,64.63,70.57,66.99,68.25

,,投票者数,,,,145933,35338,16127,19507,17470,19458,4489,8186,5083,2316,5639,12320
,,無効票＋他,,,,2780,609,308,345,450,338,130,154,105,33,96,212
,,有効票,,,,143153,34729,15819,19162,17020,19120,4359,8032,4978,2283,5543,12108

当,重複,長谷川淳二,自民,新,53歳,81015,18805,8830,11127,9874,10661,3167,4911,3236,1241,3009,6154
,,得票率,(％),,,56.59,54.15,55.82,58.07,58.01,55.76,72.65,61.14,65.01,54.36,54.28,50.83
,,桜内文城,無,元,56歳,47717,12723,5521,5803,5179,6511,688,2241,1345,868,1979,4859
,,得票率,(％),,,33.33,36.64,34.90,30.28,30.43,34.05,15.78,27.90,27.02,38.02,35.70,40.13
,,西井直人,共産,新,64歳,11555,2625,1237,1705,1494,1651,416,709,298,134,428,858
,,得票率,(％),,,8.07,7.56,7.82,8.90,8.78,8.63,9.54,8.83,5.99,5.87,7.72,7.09
,,藤島利久,無,新,59歳,1547,329,121,307,222,160,39,92,46,26,77,128
,,得票率,(％),,,1.08,0.95,0.76,1.60,1.30,0.84,0.89,1.15,0.92,1.14,1.39,1.06
,,前田龍夫,無,新,67歳,1319,247,110,220,251,137,49,79,53,14,50,109
,,得票率,(％),,,0.92,0.71,0.70,1.15,1.47,0.72,1.12,0.98,1.06,0.61,0.90,0.90


