,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,宮崎１区
,,開票所名,,,,計,宮崎市,国富町,綾町
,,有権者数,,,,354691,332532,16186,5973
,,投票率,(％),,,53.29,52.91,56.96,64.22

,,投票者数,,,,189007,175951,9220,3836
,,無効票＋他,,,,2734,2537,150,47
,,有効票,,,,186273,173414,9070,3789

当,重複,渡辺創,立民,新,44歳,60719,56582,2947,1190
,,得票率,(％),,,32.60,32.63,32.49,31.41
,重複,武井俊輔,自民,前,46歳,59649,54386,3761,1502
,,得票率,(％),,,32.02,31.36,41.47,39.64
,,脇谷のりこ,無,新,64歳,43555,41326,1543,686
,,得票率,(％),,,23.38,23.83,17.01,18.11
,重複,外山斎,維新,新,45歳,22350,21120,819,411
,,得票率,(％),,,12.00,12.18,9.03,10.85


,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,宮崎２区
,,開票所名,,,,計,延岡市,日向市,西都市,高鍋町,新富町,西米良村,木城町,川南町,都農町,門川町,諸塚村,椎葉村,美郷町,高千穂町,日之影町,五ヶ瀬町
,,有権者数,,,,273071,101132,50042,24927,16789,14231,920,4126,12789,8732,14770,1372,2323,4524,10059,3309,3026
,,投票率,(％),,,56.28,53.69,53.40,53.60,54.05,58.37,90.11,56.83,54.60,59.76,55.38,88.78,78.09,74.89,70.70,76.31,76.11

,,投票者数,,,,153676,54296,26724,13361,9074,8306,829,2345,6983,5218,8180,1218,1814,3388,7112,2525,2303
,,無効票＋他,,,,2310,715,361,242,165,200,21,45,110,82,104,20,17,76,88,33,31
,,有効票,,,,151366,53581,26363,13119,8909,8106,808,2300,6873,5136,8076,1198,1797,3312,7024,2492,2272

当,重複,江藤拓,自民,前,61歳,94156,30595,15467,8800,5463,5393,712,1427,4529,3115,5214,1031,1385,2368,5154,1811,1692
,,得票率,(％),,,62.20,57.10,58.67,67.08,61.32,66.53,88.12,62.04,65.90,60.65,64.56,86.06,77.07,71.50,73.38,72.67,74.47
,重複,長友慎治,国民,新,44歳,57210,22986,10896,4319,3446,2713,96,873,2344,2021,2862,167,412,944,1870,681,580
,,得票率,(％),,,37.80,42.90,41.33,32.92,38.68,33.47,11.88,37.96,34.10,39.35,35.44,13.94,22.93,28.50,26.62,27.33,25.53


,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,宮崎３区
,,開票所名,,,,計,都城市,日南市,小林市,串間市,えびの市,三股町,高原町
,,有権者数,,,,274053,134148,43574,37091,14931,15879,20625,7805
,,投票率,(％),,,51.53,49.76,53.38,51.08,56.73,56.08,50.46,57.46

,,投票者数,,,,141226,66755,23258,18945,8471,8905,10407,4485
,,無効票＋他,,,,2692,1313,458,355,137,158,204,67
,,有効票,,,,138534,65442,22800,18590,8334,8747,10203,4418

当,重複,古川禎久,自民,前,56歳,111845,51997,18476,15214,7418,7080,8058,3602
,,得票率,(％),,,80.73,79.46,81.04,81.84,89.01,80.94,78.98,81.53
,,松本隆,共産,新,60歳,20342,10137,3370,2609,730,1245,1613,638
,,得票率,(％),,,14.68,15.49,14.78,14.03,8.76,14.23,15.81,14.44
,,重黒木優平,Ｎ党,新,34歳,6347,3308,954,767,186,422,532,178
,,得票率,(％),,,4.58,5.05,4.18,4.13,2.23,4.82,5.21,4.03


