,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,福島１区
,,開票所名,,,,計,福島市,相馬市,南相馬市,伊達市,桑折町,国見町,川俣町,新地町,飯舘村
,,有権者数,,,,404405,233844,28704,51355,50756,9920,7714,11070,6552,4490
,,投票率,(％),,,60.61,58.78,62.69,62.27,62.70,65.86,69.55,64.03,68.86,52.67

,,投票者数,,,,245103,137443,17994,31978,31825,6533,5365,7088,4512,2365
,,無効票＋他,,,,3409,2095,232,446,345,75,57,85,54,20
,,有効票,,,,241694,135348,17762,31532,31480,6458,5308,7003,4458,2345

当,重複,金子恵美,立民,前,56歳,123620,68924,8638,15837,18218,2704,2559,3557,2152,1031
,,得票率,(％),,,51.15,50.92,48.63,50.23,57.87,41.87,48.21,50.79,48.27,43.97
,重複,亀岡偉民,自民,前,66歳,118074,66424,9124,15695,13262,3754,2749,3446,2306,1314
,,得票率,(％),,,48.85,49.08,51.37,49.77,42.13,58.13,51.79,49.21,51.73,56.03


,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,福島２区
,,開票所名,,,,計,郡山市,二本松市,本宮市,大玉村
,,有権者数,,,,347250,269270,45765,25054,7161
,,投票率,(％),,,55.06,53.18,63.11,58.35,62.80

,,投票者数,,,,191206,143208,28882,14619,4497
,,無効票＋他,,,,3067,2406,408,202,51
,,有効票,,,,188139,140802,28474,14417,4446

当,重複,根本匠,自民,前,70歳,102638,75937,16021,8248,2432
,,得票率,(％),,,54.55,53.93,56.27,57.21,54.70
,重複,馬場雄基,立民,新,29歳,85501,64865,12453,6169,2014
,,得票率,(％),,,45.45,46.07,43.73,42.79,45.30


,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,福島３区
,,開票所名,,,,計,白河市,須賀川市,田村市,鏡石町,天栄村,泉崎村,中島村,矢吹町,棚倉町,矢祭町,塙町,鮫川村,石川町,玉川村,平田村,浅川町,古殿町,三春町,小野町
,,有権者数,,,,264121,50304,63156,30462,10460,4685,5238,4107,14330,11418,4737,7227,2738,12614,5448,4976,5278,4260,14423,8260
,,投票率,(％),,,64.05,60.13,59.70,66.82,63.06,74.22,62.01,64.26,60.86,65.88,74.77,70.96,76.26,68.91,68.21,69.84,69.82,73.50,63.95,72.32

,,投票者数,,,,169168,30249,37706,20356,6596,3477,3248,2639,8721,7522,3542,5128,2088,8692,3716,3475,3685,3131,9223,5974
,,無効票＋他,,,,2409,505,501,260,100,58,45,35,183,96,53,71,26,126,40,45,48,51,105,61
,,有効票,,,,166759,29744,37205,20096,6496,3419,3203,2604,8538,7426,3489,5057,2062,8566,3676,3430,3637,3080,9118,5913

当,重複,玄葉光一郎,立民,前,57歳,90457,13292,21819,13185,3592,1880,1495,1090,4309,3071,1819,2203,948,4554,2024,1958,1788,1757,6372,3301
,,得票率,(％),,,54.24,44.69,58.65,65.61,55.30,54.99,46.67,41.86,50.47,41.35,52.14,43.56,45.97,53.16,55.06,57.08,49.16,57.05,69.88,55.83
,重複,上杉謙太郎,自民,前,46歳,76302,16452,15386,6911,2904,1539,1708,1514,4229,4355,1670,2854,1114,4012,1652,1472,1849,1323,2746,2612
,,得票率,(％),,,45.76,55.31,41.35,34.39,44.70,45.01,53.33,58.14,49.53,58.65,47.86,56.44,54.03,46.84,44.94,42.92,50.84,42.95,30.12,44.17


,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,福島４区
,,開票所名,,,,計,会津若松市,喜多方市,下郷町,檜枝岐村,只見町,南会津町,北塩原村,西会津町,磐梯町,猪苗代町,会津坂下町,湯川村,柳津町,三島町,金山町,昭和村,会津美里町,西郷村
,,有権者数,,,,237353,98044,39510,4680,450,3610,12897,2267,5252,2789,11669,13043,2587,2769,1377,1758,1098,16941,16612
,,投票率,(％),,,64.68,60.18,62.99,77.91,86,83.02,78.09,72.92,74.96,74.33,64.82,65.18,73.79,76.67,83.30,81.97,81.33,72.63,54.03

,,投票者数,,,,153515,59007,24886,3646,387,2997,10071,1653,3937,2073,7564,8501,1909,2123,1147,1441,893,12304,8976
,,無効票＋他,,,,3048,1250,417,64,10,55,170,28,49,42,136,137,23,22,22,19,13,344,247
,,有効票,,,,150467,57757,24469,3582,377,2942,9901,1625,3888,2031,7428,8364,1886,2101,1125,1422,880,11960,8729

当,重複,小熊慎司,立民,前,53歳,76683,29650,13002,1748,197,1256,5035,773,1806,1066,4039,4355,1059,871,492,638,366,5900,4430
,,得票率,(％),,,50.96,51.34,53.14,48.80,52.25,42.69,50.85,47.57,46.45,52.49,54.38,52.07,56.15,41.46,43.73,44.87,41.59,49.33,50.75
,重複,菅家一郎,自民,前,66歳,73784,28107,11467,1834,180,1686,4866,852,2082,965,3389,4009,827,1230,633,784,514,6060,4299
,,得票率,(％),,,49.04,48.66,46.86,51.20,47.75,57.31,49.15,52.43,53.55,47.51,45.62,47.93,43.85,58.54,56.27,55.13,58.41,50.67,49.25


,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,福島５区
,,開票所名,,,,計,いわき市,広野町,楢葉町,富岡町,川内村,大熊町,双葉町,浪江町,葛尾村
,,有権者数,,,,320273,268303,4057,5904,10667,2210,8451,4947,14548,1186
,,投票率,(％),,,48.00,47.88,56.96,50.86,47.14,65.34,47.26,46.29,44.24,65.18

,,投票者数,,,,153743,128464,2311,3003,5028,1444,3994,2290,6436,773
,,無効票＋他,,,,4799,3984,65,74,185,50,128,69,215,29
,,有効票,,,,148944,124480,2246,2929,4843,1394,3866,2221,6221,744

当,,吉野正芳,自民,前,73歳,93325,76486,1575,1970,3240,1103,2718,1615,4070,548
,,得票率,(％),,,62.66,61.44,70.12,67.26,66.90,79.12,70.31,72.71,65.42,73.66
,,熊谷智,共産,新,42歳,55619,47994,671,959,1603,291,1148,606,2151,196
,,得票率,(％),,,37.34,38.56,29.88,32.74,33.10,20.88,29.69,27.29,34.58,26.34


