,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,香川１区
,,開票所名,,,,計,高松市１区,土庄町,小豆島町,直島町
,,有権者数,,,,313296,286624,11712,12308,2652
,,投票率,(％),,,57.52,56.65,68.47,65.69,65.05

,,投票者数,,,,180200,162371,8019,8085,1725
,,無効票＋他,,,,3218,2876,179,132,31
,,有効票,,,,176982,159495,7840,7953,1694

当,重複,小川淳也,立民,前,50歳,90267,81651,3932,3845,839
,,得票率,(％),,,51.00,51.19,50.15,48.35,49.53
,重複,平井卓也,自民,前,63歳,70827,62938,3514,3661,714
,,得票率,(％),,,40.02,39.46,44.82,46.03,42.15
,重複,町川順子,維新,新,62歳,15888,14906,394,447,141
,,得票率,(％),,,8.98,9.35,5.03,5.62,8.32


,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,香川２区
,,開票所名,,,,計,高松市２区,丸亀市２区,坂出市,さぬき市,東かがわ市,三木町,宇多津町,綾川町
,,有権者数,,,,258730,66916,23630,43657,40686,25910,23089,14781,20061
,,投票率,(％),,,58.53,56.23,56.25,58.78,61.14,60.68,58.95,54.82,62.55

,,投票者数,,,,151438,37626,13291,25662,24875,15722,13610,8103,12549
,,無効票＋他,,,,2574,855,180,362,414,248,205,126,184
,,有効票,,,,148864,36771,13111,25300,24461,15474,13405,7977,12365

当,重複,玉木雄一郎,国民,前,52歳,94530,23590,7675,13620,17716,10379,9134,4754,7662
,,得票率,(％),,,63.50,64.15,58.54,53.83,72.43,67.07,68.14,59.60,61.97
,重複,瀬戸隆一,自民,元,56歳,54334,13181,5436,11680,6745,5095,4271,3223,4703
,,得票率,(％),,,36.50,35.85,41.46,46.17,27.57,32.93,31.86,40.40,38.03


,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,香川３区
,,開票所名,,,,計,丸亀市３区,善通寺市,観音寺市,三豊市,琴平町,多度津町,まんのう町
,,有権者数,,,,240033,68890,26380,49481,53874,7547,18689,15172
,,投票率,(％),,,51.60,49.27,51.58,53.38,53.03,53.78,51.20,50.74

,,投票者数,,,,123858,33945,13608,26412,28567,4059,9568,7699
,,無効票＋他,,,,5484,1433,599,1263,1255,179,494,261
,,有効票,,,,118374,32512,13009,25149,27312,3880,9074,7438

当,重複,大野敬太郎,自民,前,53歳,94437,24843,10466,20590,22203,3088,7102,6145
,,得票率,(％),,,79.78,76.41,80.45,81.87,81.29,79.59,78.27,82.62
,,尾崎淳一郎,共産,新,70歳,23937,7669,2543,4559,5109,792,1972,1293
,,得票率,(％),,,20.22,23.59,19.55,18.13,18.71,20.41,21.73,17.38


