,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,茨城１区
,,開票所名,,,,計,水戸市１区,下妻市１区,笠間市１区,常陸大宮市１区,筑西市,桜川市,城里町
,,有権者数,,,,402090,213164,27560,21198,2967,85995,34632,16574
,,投票率,(％),,,51.29,49.95,50.09,53.08,53.32,53.37,53.68,52.09

,,投票者数,,,,206229,106471,13804,11251,1582,45895,18592,8634
,,無効票＋他,,,,4366,2712,255,175,26,720,312,166
,,有効票,,,,201863,103759,13549,11076,1556,45175,18280,8468

当,,福島伸享,無,元,51歳,105072,58885,5759,5848,726,20196,9029,4629
,,得票率,(％),,,52.05,56.75,42.50,52.80,46.66,44.71,49.39,54.66
,重複,田所嘉徳,自民,前,67歳,96791,44874,7790,5228,830,24979,9251,3839
,,得票率,(％),,,47.95,43.25,57.50,47.20,53.34,55.29,50.61,45.34


,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,茨城２区
,,開票所名,,,,計,水戸市２区,笠間市２区,鹿嶋市,潮来市,神栖市,行方市,鉾田市,小美玉市２区,茨城町,大洗町
,,有権者数,,,,355390,12956,42306,56382,23351,77864,28187,39135,34590,27093,13526
,,投票率,(％),,,49.80,51.21,49.75,49.62,51.94,44.19,52.05,61.41,48.21,46.57,50.16

,,投票者数,,,,176982,6635,21047,27979,12128,34410,14670,24034,16677,12617,6785
,,無効票＋他,,,,5048,370,583,857,323,982,360,688,412,277,196
,,有効票,,,,171934,6265,20464,27122,11805,33428,14310,23346,16265,12340,6589

当,,額賀福志郎,自民,前,77歳,110831,3814,12295,16213,8065,22315,9759,15105,10830,8167,4268
,,得票率,(％),,,64.46,60.88,60.08,59.78,68.32,66.76,68.20,64.70,66.58,66.18,64.77
,重複,藤田幸久,立民,元,71歳,61103,2451,8169,10909,3740,11113,4551,8241,5435,4173,2321
,,得票率,(％),,,35.54,39.12,39.92,40.22,31.68,33.24,31.80,35.30,33.42,33.82,35.23


,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,茨城３区
,,開票所名,,,,計,龍ケ崎市,取手市,牛久市,守谷市,稲敷市,美浦村,阿見町,河内町,利根町
,,有権者数,,,,389521,64049,91301,70379,56115,33756,12635,39889,7519,13878
,,投票率,(％),,,53.52,51.68,54.25,54.09,58.17,50.35,49.58,50.78,49.51,57.01

,,投票者数,,,,208485,33098,49527,38065,32643,16996,6264,20257,3723,7912
,,無効票＋他,,,,4263,724,991,734,720,316,141,441,68,128
,,有効票,,,,204222,32374,48536,37331,31923,16680,6123,19816,3655,7784

当,重複,葉梨康弘,自民,前,62歳,109448,17099,24800,18392,15446,11456,4045,11677,2355,4178
,,得票率,(％),,,53.59,52.82,51.10,49.27,48.39,68.68,66.06,58.93,64.43,53.67
,重複,梶岡博樹,立民,新,44歳,63674,10080,16040,12819,10842,3535,1392,5454,941,2571
,,得票率,(％),,,31.18,31.14,33.05,34.34,33.96,21.19,22.73,27.52,25.75,33.03
,重複,岸野智康,維新,新,27歳,31100,5195,7696,6120,5635,1689,686,2685,359,1035
,,得票率,(％),,,15.23,16.05,15.86,16.39,17.65,10.13,11.20,13.55,9.82,13.30


,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,茨城４区
,,開票所名,,,,計,常陸太田市,ひたちなか市,常陸大宮市４区,那珂市,大子町
,,有権者数,,,,268147,43963,131502,32127,46201,14354
,,投票率,(％),,,52.81,56.24,51.16,52.67,51.78,61.01

,,投票者数,,,,141606,24726,67278,16920,23924,8758
,,無効票＋他,,,,2172,272,1227,211,374,88
,,有効票,,,,139434,24454,66051,16709,23550,8670

当,重複,梶山弘志,自民,前,66歳,98254,19593,43177,12401,16030,7053
,,得票率,(％),,,70.47,80.12,65.37,74.22,68.07,81.35
,重複,武藤優子,維新,新,57歳,25162,2933,14238,2327,4809,855
,,得票率,(％),,,18.05,11.99,21.56,13.93,20.42,9.86
,重複,大内久美子,共産,新,72歳,16018,1928,8636,1981,2711,762
,,得票率,(％),,,11.49,7.88,13.07,11.86,11.51,8.79


,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,茨城５区
,,開票所名,,,,計,日立市,高萩市,北茨城市,東海村
,,有権者数,,,,241755,149939,23932,36362,31522
,,投票率,(％),,,53.30,53.02,54.90,51.41,55.63

,,投票者数,,,,128864,79495,13138,18695,17536
,,無効票＋他,,,,2304,1348,224,371,361
,,有効票,,,,126560,78147,12914,18324,17175

当,重複,浅野哲,国民,前,39歳,61373,40197,5627,7810,7739
,,得票率,(％),,,48.49,51.44,43.57,42.62,45.06
,重複,石川昭政,自民,前,49歳,53878,31620,6100,8620,7538
,,得票率,(％),,,42.57,40.46,47.24,47.04,43.89
,,飯田美弥子,共産,新,61歳,8061,4655,843,1312,1251
,,得票率,(％),,,6.37,5.96,6.53,7.16,7.28
,,田村弘,無,新,49歳,3248,1675,344,582,647
,,得票率,(％),,,2.57,2.14,2.66,3.18,3.77


,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,茨城６区
,,開票所名,,,,計,土浦市,石岡市,つくば市,かすみがうら市,つくばみらい市,小美玉市６区
,,有権者数,,,,454712,117759,62402,191549,34246,42254,6502
,,投票率,(％),,,53.62,51.70,51.69,55.14,55.87,53.46,51.69

,,投票者数,,,,243833,60881,32254,105615,19133,22589,3361
,,無効票＋他,,,,4560,1178,495,2123,242,480,42
,,有効票,,,,239273,59703,31759,103492,18891,22109,3319

当,重複,国光文乃,自民,前,42歳,125703,28889,17056,55967,9944,11955,1892
,,得票率,(％),,,52.54,48.39,53.70,54.08,52.64,54.07,57.01
,重複,青山大人,立民,前,42歳,113570,30814,14703,47525,8947,10154,1427
,,得票率,(％),,,47.46,51.61,46.30,45.92,47.36,45.93,42.99


,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,茨城７区
,,開票所名,,,,計,古河市,結城市,下妻市７区,常総市,坂東市,八千代町,五霞町,境町
,,有権者数,,,,303353,118034,41415,7082,48896,43242,17317,7138,20229
,,投票率,(％),,,53.71,52.15,52.66,53.64,53.84,54.11,59.50,58.36,57.24

,,投票者数,,,,162936,61556,21809,3799,26324,23398,10304,4166,11580
,,無効票＋他,,,,3048,1205,430,72,459,403,153,91,235
,,有効票,,,,159888,60351,21379,3727,25865,22995,10151,4075,11345

当,重複,永岡桂子,自民,前,67歳,74362,30094,8912,1897,11939,11491,4342,1732,3955
,,得票率,(％),,,46.51,49.86,41.69,50.90,46.16,49.97,42.77,42.50,34.86
,重複,中村喜四郎,立民,前,72歳,70843,23819,10187,1521,11601,9702,5163,2052,6798
,,得票率,(％),,,44.31,39.47,47.65,40.81,44.85,42.19,50.86,50.36,59.92
,重複,水梨伸晃,維新,新,42歳,14683,6438,2280,309,2325,1802,646,291,592
,,得票率,(％),,,9.18,10.67,10.66,8.29,8.99,7.84,6.36,7.14,5.22


