,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,静岡１区
,,開票所名,,,,計,静岡市葵区,静岡市駿河区
,,有権者数,,,,387132,212149,174983
,,投票率,(％),,,50.99,51.91,49.89

,,投票者数,,,,197415,110122,87293
,,無効票＋他,,,,2832,1608,1224
,,有効票,,,,194583,108514,86069

当,重複,上川陽子,自民,前,68歳,101868,56515,45353
,,得票率,(％),,,52.35,52.08,52.69
,重複,遠藤行洋,立民,新,59歳,53974,30705,23269
,,得票率,(％),,,27.74,28.30,27.04
,重複,高橋美穂,国民,元,56歳,21074,11677,9397
,,得票率,(％),,,10.83,10.76,10.92
,重複,青山雅幸,維新,前,59歳,17667,9617,8050
,,得票率,(％),,,9.08,8.86,9.35


,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,静岡２区
,,開票所名,,,,計,島田市,焼津市,藤枝市,御前崎市２区,牧之原市,吉田町,川根本町
,,有権者数,,,,388436,81152,113750,120161,8116,36279,23225,5753
,,投票率,(％),,,56.11,57.47,53.71,55.92,58.62,59.77,54.55,68.45

,,投票者数,,,,217970,46634,61093,67194,4758,21684,12669,3938
,,無効票＋他,,,,3460,704,968,1026,95,356,256,55
,,有効票,,,,214510,45930,60125,66168,4663,21328,12413,3883

当,重複,井林辰憲,自民,前,45歳,131082,27384,36018,38855,3375,14431,8038,2981
,,得票率,(％),,,61.11,59.62,59.91,58.72,72.38,67.66,64.75,76.77
,重複,福村隆,立民,新,58歳,71032,15881,20449,23428,1108,5721,3660,785
,,得票率,(％),,,33.11,34.58,34.01,35.41,23.76,26.82,29.49,20.22
,,山口祐樹,共産,新,31歳,12396,2665,3658,3885,180,1176,715,117
,,得票率,(％),,,5.78,5.80,6.08,5.87,3.86,5.51,5.76,3.01


,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,静岡３区
,,開票所名,,,,計,浜松市天竜区３区,磐田市,掛川市,袋井市,御前崎市３区,菊川市,森町
,,有権者数,,,,371830,3611,135340,93924,69025,17807,37155,14968
,,投票率,(％),,,58.14,66.82,57.25,59.77,55.16,57.85,59.80,63.78

,,投票者数,,,,216181,2413,77487,56140,38073,10301,22220,9547
,,無効票＋他,,,,2942,38,919,771,570,222,324,98
,,有効票,,,,213239,2375,76568,55369,37503,10079,21896,9449

当,重複,小山展弘,立民,元,45歳,112464,1284,41098,29774,19830,4525,11299,4654
,,得票率,(％),,,52.74,54.06,53.68,53.77,52.88,44.90,51.60,49.25
,重複,宮沢博行,自民,前,46歳,100775,1091,35470,25595,17673,5554,10597,4795
,,得票率,(％),,,47.26,45.94,46.32,46.23,47.12,55.10,48.40,50.75


,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,静岡４区
,,開票所名,,,,計,静岡市清水区,富士宮市,富士市４区
,,有権者数,,,,320374,198456,109093,12825
,,投票率,(％),,,50.07,50.78,47.93,57.40

,,投票者数,,,,160418,100771,52285,7362
,,無効票＋他,,,,2518,1457,995,66
,,有効票,,,,157900,99314,51290,7296

当,重複,深澤陽一,自民,前,45歳,84154,58768,22418,2968
,,得票率,(％),,,53.30,59.17,43.71,40.68
,重複,田中健,国民,新,44歳,49305,28900,16744,3661
,,得票率,(％),,,31.23,29.10,32.65,50.18
,重複,中村憲一,維新,新,47歳,24441,11646,12128,667
,,得票率,(％),,,15.48,11.73,23.65,9.14


,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,静岡５区
,,開票所名,,,,計,三島市,富士市５区,御殿場市,裾野市,伊豆の国市５区,函南町,小山町
,,有権者数,,,,458636,91160,195481,71075,42036,12012,31732,15140
,,投票率,(％),,,54.39,58.46,52.03,51.76,58.78,53.09,54.81,60.64

,,投票者数,,,,249442,53289,101702,36790,24710,6377,17393,9181
,,無効票＋他,,,,3210,669,1327,501,310,82,202,119
,,有効票,,,,246232,52620,100375,36289,24400,6295,17191,9062

当,,細野豪志,無,前,50歳,127580,28349,51043,18697,12797,3187,8794,4713
,,得票率,(％),,,51.81,53.87,50.85,51.52,52.45,50.63,51.15,52.01
,重複,吉川赳,自民,前,39歳,61337,10010,27823,9969,5823,1339,3808,2565
,,得票率,(％),,,24.91,19.02,27.72,27.47,23.86,21.27,22.15,28.31
,重複,小野範和,立民,新,48歳,51965,13301,19234,6816,5202,1644,4206,1562
,,得票率,(％),,,21.10,25.28,19.16,18.78,21.32,26.12,24.47,17.24
,,千田光,諸派,新,43歳,5350,960,2275,807,578,125,383,222
,,得票率,(％),,,2.17,1.82,2.27,2.22,2.37,1.99,2.23,2.45


,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,静岡６区
,,開票所名,,,,計,沼津市,熱海市,伊東市,下田市,伊豆市,伊豆の国市６区,東伊豆町,河津町,南伊豆町,松崎町,西伊豆町,清水町,長泉町
,,有権者数,,,,425131,163711,32110,59600,18211,26123,28495,10518,6063,7014,5599,6683,25973,35031
,,投票率,(％),,,53.77,51.56,51.31,50.87,55.97,59.38,54.33,54.65,61.31,64.09,67.12,64.24,54.24,57.42

,,投票者数,,,,228601,84409,16476,30317,10192,15512,15480,5748,3717,4495,3758,4293,14088,20116
,,無効票＋他,,,,2579,815,208,399,114,203,166,106,45,70,21,26,157,249
,,有効票,,,,226022,83594,16268,29918,10078,15309,15314,5642,3672,4425,3737,4267,13931,19867

当,重複,勝俣孝明,自民,前,45歳,104178,37685,7782,14057,5125,7449,6680,3187,1938,2328,1857,2345,5826,7919
,,得票率,(％),,,46.09,45.08,47.84,46.99,50.85,48.66,43.62,56.49,52.78,52.61,49.69,54.96,41.82,39.86
,重複,渡辺周,立民,前,59歳,99758,38130,6611,12253,4016,6613,7124,2015,1499,1720,1617,1649,6706,9805
,,得票率,(％),,,44.14,45.61,40.64,40.96,39.85,43.20,46.52,35.71,40.82,38.87,43.27,38.65,48.14,49.35
,重複,山下洸棋,維新,新,30歳,22086,7779,1875,3608,937,1247,1510,440,235,377,263,273,1399,2143
,,得票率,(％),,,9.77,9.31,11.53,12.06,9.30,8.15,9.86,7.80,6.40,8.52,7.04,6.40,10.04,10.79


,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,静岡７区
,,開票所名,,,,計,浜松市中区７区,浜松市西区,浜松市南区７区,浜松市北区,浜松市浜北区,浜松市天竜区７区,湖西市
,,有権者数,,,,328735,1405,89092,13890,76745,79869,20498,47236
,,投票率,(％),,,58.72,48.61,59.80,55.67,58.15,55.89,62.91,61.73

,,投票者数,,,,193019,683,53276,7732,44631,44642,12896,29159
,,無効票＋他,,,,2269,9,671,122,461,515,128,363
,,有効票,,,,190750,674,52605,7610,44170,44127,12768,28796

当,重複,城内実,自民,前,56歳,130024,487,35758,4959,31248,28816,8965,19791
,,得票率,(％),,,68.16,72.26,67.97,65.16,70.74,65.30,70.21,68.73
,重複,日吉雄太,立民,前,53歳,60726,187,16847,2651,12922,15311,3803,9005
,,得票率,(％),,,31.84,27.74,32.03,34.84,29.26,34.70,29.79,31.27


,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,静岡８区
,,開票所名,,,,計,浜松市中区８区,浜松市東区,浜松市南区８区
,,有権者数,,,,367189,192182,105986,69021
,,投票率,(％),,,56.47,57.04,55.44,56.48

,,投票者数,,,,207356,109614,58758,38984
,,無効票＋他,,,,2738,1585,726,427
,,有効票,,,,204618,108029,58032,38557

当,重複,源馬謙太郎,立民,前,48歳,114210,59149,33610,21451
,,得票率,(％),,,55.82,54.75,57.92,55.63
,重複,塩谷立,自民,前,71歳,90408,48880,24422,17106
