,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,大阪１区
,,開票所名,,,,計,大阪市中央区,大阪市西区,大阪市港区,大阪市天王寺区,大阪市浪速区,大阪市東成区
,,川添健真,共産,新,39歳,20083,16882,3201
,,得票率,(％),,,8.88,8.91,8.76
,重複,西川弘城,れ新,新,56歳,6927,5743,1184
,,得票率,(％),,,3.06,3.03,3.24


,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,大阪８区
,,開票所名,,,,計,豊中市
,,有権者数,,,,337105,337105
,,投票率,(％),,,59.75,59.75

,,投票者数,,,,201413,201413
,,無効票＋他,,,,4005,4005
,,有効票,,,,197408,197408

当,重複,漆間譲司,維新,新,47歳,105073,105073
,,得票率,(％),,,53.23,53.23
,重複,高麗啓一郎,自民,新,41歳,53877,53877
,,得票率,(％),,,27.29,27.29
,重複,松井博史,立民,新,53歳,38458,38458
,,得票率,(％),,,19.48,19.48


,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,大阪９区
,,開票所名,,,,計,池田市,茨木市,箕面市,豊能町,能勢町
,,有権者数,,,,456232,86239,232634,111540,17182,8637
,,投票率,(％),,,59.08,59.39,57.32,61.14,67.45,60.43

,,投票者数,,,,269554,51215,133339,68192,11589,5219
,,無効票＋他,,,,5098,907,2654,1274,183,80
,,有効票,,,,264456,50308,130685,66918,11406,5139

当,重複,足立康史,維新,前,56歳,133146,22855,68335,34127,5949,1880
,,得票率,(％),,,50.35,45.43,52.29,51.00,52.16,36.58
,,原田憲治,自民,前,73歳,83776,17990,38807,21132,3417,2430
,,得票率,(％),,,31.68,35.76,29.70,31.58,29.96,47.29
,重複,大椿裕子,社民,新,48歳,42165,8393,20661,10472,1868,771
,,得票率,(％),,,15.94,16.68,15.81,15.65,16.38,15.00
,,磯部和哉,無,新,49歳,5369,1070,2882,1187,172,58
,,得票率,(％),,,2.03,2.13,2.21,1.77,1.51,1.13


,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,大阪１０区
