,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,長崎１区
,,開票所名,,,,計,長崎市１区
,,有権者数,,,,334139,334139
,,投票率,(％),,,55.25,55.25

,,投票者数,,,,184605,184605
,,無効票＋他,,,,2921,2921
,,有効票,,,,181684,181684

当,重複,西岡秀子,国民,前,57歳,101877,101877
,,得票率,(％),,,56.07,56.07
,重複,初村滝一郎,自民,新,42歳,69053,69053
,,得票率,(％),,,38.01,38.01
,,安江綾子,共産,新,44歳,10754,10754
,,得票率,(％),,,5.92,5.92


,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,長崎２区
,,開票所名,,,,計,長崎市２区,島原市,諫早市,雲仙市,南島原市,長与町,時津町
,,有権者数,,,,293298,13245,36812,112379,35675,37594,33773,23820
,,投票率,(％),,,57.03,50.72,59.86,54.56,65.34,57.96,57.72,52.93

,,投票者数,,,,167270,6718,22034,61318,23311,21788,19494,12607
,,無効票＋他,,,,3594,177,332,1291,629,411,443,311
,,有効票,,,,163676,6541,21702,60027,22682,21377,19051,12296

当,重複,加藤竜祥,自民,新,41歳,95271,3647,14999,32309,15106,14153,8875,6182
,,得票率,(％),,,58.21,55.76,69.11,53.82,66.60,66.21,46.59,50.28
,重複,松平浩一,立民,前,47歳,68405,2894,6703,27718,7576,7224,10176,6114
,,得票率,(％),,,41.79,44.24,30.89,46.18,33.40,33.79,53.41,49.72


,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,長崎３区
,,開票所名,,,,計,佐世保市３区,大村市,対馬市,壱岐市,五島市,東彼杵町,川棚町,波佐見町,小値賀町,新上五島町
,,有権者数,,,,236525,32067,78665,24962,21592,31037,6605,11402,12071,2056,16068
,,投票率,(％),,,60.93,49.54,57.52,67.53,64.60,68.28,64.35,57.81,61.11,79.18,69.25

,,投票者数,,,,144104,15887,45247,16857,13949,21192,4250,6591,7376,1628,11127
,,無効票＋他,,,,3375.01,567.001,1247.001,372.001,214.001,280.001,87.001,213.001,180.001,29.001,186.001
,,有効票,,,,140728.99,15319.999,43999.999,16484.999,13734.999,20911.999,4162.999,6377.999,7195.999,1598.999,10940.999

当,,谷川弥一,自民,前,80歳,57223,5705,15033,7726,7389,8667,1378,2033,2547,1049,5696
,,得票率,(％),,,40.66,37.24,34.17,46.87,53.80,41.45,33.10,31.88,35.39,65.60,52.06
,重複,山田勝彦,立民,新,42歳,55189.084,6998.37,21608.628,5299.407,4452.647,4218.857,2085.965,3136.491,3350.267,414.044,3624.408
,,得票率,(％),,,39.22,45.68,49.11,32.15,32.42,20.17,50.11,49.18,46.56,25.89,33.13
,,山田博司,無,新,51歳,25566.906,2254.629,6257.371,3308.592,1666.352,7827.142,544.034,926.508,1101.732,129.955,1550.591
,,得票率,(％),,,18.17,14.72,14.22,20.07,12.13,37.43,13.07,14.53,15.31,8.13,14.17
,,石本啓之,諸派,新,52歳,2750,362,1101,151,227,199,155,282,197,6,70
,,得票率,(％),,,1.95,2.36,2.50,0.92,1.65,0.95,3.72,4.42,2.74,0.38,0.64


,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,長崎４区
,,開票所名,,,,計,佐世保市４区,平戸市,松浦市,西海市,佐々町
,,有権者数,,,,250004,171964,25655,18468,22683,11234
,,投票率,(％),,,55.08,54.09,58.21,57.49,57.34,54.65

,,投票者数,,,,137708,93009,14935,10618,13007,6139
,,無効票＋他,,,,4628,3350,396,331,383,168
,,有効票,,,,133080,89659,14539,10287,12624,5971

当,,北村誠吾,自民,前,74歳,55968,35808,6988,4766,5723,2683
,,得票率,(％),,,42.06,39.94,48.06,46.33,45.33,44.93
,重複,末次精一,立民,新,58歳,55577,38522,5348,3946,5299,2462
,,得票率,(％),,,41.76,42.97,36.78,38.36,41.98,41.23
,,萩原活,無,新,61歳,16860,12428,1609,1167,1014,642
,,得票率,(％),,,12.67,13.86,11.07,11.34,8.03,10.75
,,田中隆治,無,新,78歳,4675,2901,594,408,588,184
,,得票率,(％),,,3.51,3.24,4.09,3.97,4.66,3.08


