,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,神奈川１区
,,開票所名,,,,計,横浜市中区,横浜市磯子区,横浜市金沢区
,,有権者数,,,,427922,120320,140027,167575
,,投票率,(％),,,53.99,52.24,52.99,56.09

,,投票者数,,,,231043,62850,74195,93998
,,無効票＋他,,,,8590,2703,2792,3095
,,有効票,,,,222453,60147,71403,90903

当,重複,篠原豪,立民,前,46歳,100118,24786,32362,42970
,,得票率,(％),,,45.01,41.21,45.32,47.27
,,松本純,無,前,71歳,76064,21927,24457,29680
,,得票率,(％),,,34.19,36.46,34.25,32.65
,重複,浅川義治,維新,新,53歳,46271,13434,14584,18253
,,得票率,(％),,,20.80,22.34,20.42,20.08


,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,神奈川２区
,,開票所名,,,,計,横浜市西区,横浜市南区,横浜市港南区
,,有権者数,,,,436066,86102,166738,183226
,,投票率,(％),,,56.00,56.68,53.13,58.29

,,投票者数,,,,244192,48800,88586,106806
,,無効票＋他,,,,5146,1077,1945,2124
,,有効票,,,,239046,47723,86641,104682

当,重複,菅義偉,自民,前,72歳,146166,29236,53351,63579
,,得票率,(％),,,61.15,61.26,61.58,60.74
,重複,岡本英子,立民,元,57歳,92880,18487,33290,41103
,,得票率,(％),,,38.85,38.74,38.42,39.26


,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,神奈川３区
,,開票所名,,,,計,横浜市鶴見区,横浜市神奈川区
,,有権者数,,,,442398,239585,202813
,,投票率,(％),,,52.64,51.63,53.83

,,投票者数,,,,232868,123687,109181
,,無効票＋他,,,,5994,3281,2713
,,有効票,,,,226874,120406,106468

当,重複,中西健治,自民,新,57歳,119199,63836,55363
,,得票率,(％),,,52.54,53.02,52.00
,重複,小林丈人,立民,新,50歳,68457,33559,34898
,,得票率,(％),,,30.17,27.87,32.78
,,木佐木忠晶,共産,新,37歳,23310,14093,9217
,,得票率,(％),,,10.27,11.70,8.66
,,藤村晃子,無,新,48歳,15908,8918,6990
,,得票率,(％),,,7.01,7.41,6.57


,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,神奈川４区
,,開票所名,,,,計,横浜市栄区,鎌倉市,逗子市,葉山町
,,有権者数,,,,332708,103213,151215,50710,27570
,,投票率,(％),,,61.70,60.19,61.29,64.66,64.09

,,投票者数,,,,205272,62128,92683,32791,17670
,,無効票＋他,,,,2884,921,1153,526,284
,,有効票,,,,202388,61207,91530,32265,17386

当,重複,早稲田夕季,立民,前,62歳,66841,19429,31972,10092,5348
,,得票率,(％),,,33.03,31.74,34.93,31.28,30.76
,,浅尾慶一郎,無,元,57歳,63687,17925,29746,10273,5743
,,得票率,(％),,,31.47,29.29,32.50,31.84,33.03
,重複,山本朋広,自民,前,46歳,47511,16883,19315,7424,3889
,,得票率,(％),,,23.48,27.58,21.10,23.01,22.37
,重複,高谷清彦,維新,新,42歳,16559,5285,6730,3141,1403
,,得票率,(％),,,8.18,8.63,7.35,9.74,8.07
,,大西恒樹,無,新,57歳,7790,1685,3767,1335,1003
,,得票率,(％),,,3.85,2.75,4.12,4.14,5.77


,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,神奈川５区
,,開票所名,,,,計,横浜市戸塚区,横浜市泉区,横浜市瀬谷区
,,有権者数,,,,467198,235107,128792,103299
,,投票率,(％),,,56.05,57.34,56.37,52.70

,,投票者数,,,,261861,134822,72599,54440
,,無効票＋他,,,,6954,3479,1944,1531
,,有効票,,,,254907,131343,70655,52909

当,重複,坂井学,自民,前,56歳,136288,70449,37671,28168
,,得票率,(％),,,53.47,53.64,53.32,53.24
,重複,山崎誠,立民,前,58歳,118619,60894,32984,24741
,,得票率,(％),,,46.53,46.36,46.68,46.76


,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,神奈川６区
