,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,岡山１区
,,開票所名,,,,計,岡山市北区１区,岡山市南区１区,吉備中央町１区
,,有権者数,,,,364162,239763,120749,3650
,,投票率,(％),,,46.73,47.44,45.01,57.15

,,投票者数,,,,170169,113734,54349,2086
,,無効票＋他,,,,4741,3218,1462,61
,,有効票,,,,165428,110516,52887,2025

当,重複,逢沢一郎,自民,前,67歳,90939,59694,30044,1201
,,得票率,(％),,,54.97,54.01,56.81,59.31
,重複,原田謙介,立民,新,35歳,65499,44726,20089,684
,,得票率,(％),,,39.59,40.47,37.98,33.78
,,余江雪央,共産,新,44歳,8990,6096,2754,140
,,得票率,(％),,,5.43,5.52,5.21,6.91


,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,岡山２区
,,開票所名,,,,計,岡山市北区２区,岡山市中区,岡山市東区２区,岡山市南区２区,玉野市,瀬戸内市
,,有権者数,,,,289071,3177,120818,65961,18180,49667,31268
,,投票率,(％),,,50.42,44.70,48.73,49.17,50.03,53.78,55.07

,,投票者数,,,,145751,1420,58874,32432,9095,26710,17220
,,無効票＋他,,,,2293,26,952,523,144,363,285
,,有効票,,,,143458,1394,57922,31909,8951,26347,16935

当,重複,山下貴司,自民,前,56歳,80903,895,32883,18013,5080,14408,9624
,,得票率,(％),,,56.39,64.20,56.77,56.45,56.75,54.69,56.83
,重複,津村啓介,立民,前,50歳,62555,499,25039,13896,3871,11939,7311
,,得票率,(％),,,43.61,35.80,43.23,43.55,43.25,45.31,43.17


,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,岡山３区
,,開票所名,,,,計,岡山市東区３区,津山市,備前市,赤磐市,真庭市３区,美作市,和気町,新庄村,鏡野町,勝央町,奈義町,西粟倉村,久米南町,美咲町
,,有権者数,,,,270568,12635,82672,28672,36306,33152,22981,11867,753,10655,9045,4852,1186,4106,11686
,,投票率,(％),,,57.97,51.56,55.09,58.02,55.19,60.75,62.04,60.79,77.69,62.95,59.71,69.29,71.50,60.30,60.97

,,投票者数,,,,156852,6514,45548,16636,20038,20140,14258,7214,585,6707,5401,3362,848,2476,7125
,,無効票＋他,,,,2215,110,633,262,359,231,185,108,7,76,51,52,11,41,89
,,有効票,,,,154637,6404,44915,16374,19679,19909,14073,7106,578,6631,5350,3310,837,2435,7036

当,,平沼正二郎,無,新,41歳,68631,2524,21042,7576,8553,7122,6669,3503,168,3011,2573,1465,346,999,3080
,,得票率,(％),,,44.38,39.41,46.85,46.27,43.46,35.77,47.39,49.30,29.07,45.41,48.09,44.26,41.34,41.03,43.77
,重複,阿部俊子,自民,前,62歳,54930,2431,15519,5852,6627,7446,4842,2256,318,2509,1936,1375,341,882,2596
,,得票率,(％),,,35.52,37.96,34.55,35.74,33.68,37.40,34.41,31.75,55.02,37.84,36.19,41.54,40.74,36.22,36.90
,重複,森本栄,立民,新,73歳,23316,1035,6467,2033,3198,4540,1837,917,70,850,650,317,112,346,944
,,得票率,(％),,,15.08,16.16,14.40,12.42,16.25,22.80,13.05,12.90,12.11,12.82,12.15,9.58,13.38,14.21,13.42
,,尾崎宏子,共産,新,65歳,7760,414,1887,913,1301,801,725,430,22,261,191,153,38,208,416
,,得票率,(％),,,5.02,6.46,4.20,5.58,6.61,4.02,5.15,6.05,3.81,3.94,3.57,4.62,4.54,8.54,5.91


,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,岡山４区
,,開票所名,,,,計,倉敷市４区,早島町
,,有権者数,,,,381828,371623,10205
,,投票率,(％),,,48.04,47.83,55.64

,,投票者数,,,,183432,177754,5678
,,無効票＋他,,,,4375,4219,156
,,有効票,,,,179057,173535,5522

当,重複,橋本岳,自民,前,47歳,89052,86401,2651
,,得票率,(％),,,49.73,49.79,48.01
,重複,柚木道義,立民,前,49歳,83859,81162,2697
,,得票率,(％),,,46.83,46.77,48.84
,,中川智晴,無,新,63歳,6146,5972,174
,,得票率,(％),,,3.43,3.44,3.15


,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,岡山５区
,,開票所名,,,,計,倉敷市５区,笠岡市,井原市,総社市,高梁市,新見市,真庭市５区,浅口市,里庄町,矢掛町,吉備中央町５区
,,有権者数,,,,262936,23925,40322,33532,56384,24688,24454,4260,28924,9120,11718,5609
,,投票率,(％),,,54.33,51.06,53.36,52.34,49.03,57.86,61.74,60.54,56.96,58.89,58.55,58.05

,,投票者数,,,,142850,12216,21516,17551,27643,14285,15097,2579,16475,5371,6861,3256
,,無効票＋他,,,,2177,226,282,279,493,222,175,32,261,74,75,58
,,有効票,,,,140673,11990,21234,17272,27150,14063,14922,2547,16214,5297,6786,3198

当,重複,加藤勝信,自民,前,65歳,102139,8544,15884,13120,18540,10386,11018,1901,11367,3871,5192,2316
,,得票率,(％),,,72.61,71.26,74.80,75.96,68.29,73.85,73.84,74.64,70.11,73.08,76.51,72.42
,重複,はたともこ,立民,新,55歳,31467,2778,4346,3337,6968,2922,3293,548,4111,1195,1263,706
,,得票率,(％),,,22.37,23.17,20.47,19.32,25.66,20.78,22.07,21.52,25.35,22.56,18.61,22.08
,,美見芳明,共産,新,64歳,7067,668,1004,815,1642,755,611,98,736,231,331,176
,,得票率,(％),,,5.02,5.57,4.73,4.72,6.05,5.37,4.09,3.85,4.54,4.36,4.88,5.50


