,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,秋田１区
,,開票所名,,,,計,秋田市
,,有権者数,,,,261956,261956
,,投票率,(％),,,58.18,58.18

,,投票者数,,,,152408,152408
,,無効票＋他,,,,2082,2082
,,有効票,,,,150326,150326

当,重複,冨樫博之,自民,前,66歳,77960,77960
,,得票率,(％),,,51.86,51.86
,重複,寺田学,立民,前,45歳,72366,72366
,,得票率,(％),,,48.14,48.14


,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,秋田２区
,,開票所名,,,,計,能代市,大館市,男鹿市,鹿角市,潟上市,北秋田市,小坂町,上小阿仁村,藤里町,三種町,八峰町,五城目町,八郎潟町,井川町,大潟村
,,有権者数,,,,258568,44891,60818,23434,25698,27911,27144,4305,1957,2742,13989,6117,7903,4935,4085,2639
,,投票率,(％),,,61.23,60.48,61.97,59.99,59.21,57.11,62.35,68.78,74.76,70.97,61.21,62.61,61.62,66.50,63.06,70.59

,,投票者数,,,,158330,27148,37689,14059,15217,15939,16924,2961,1463,1946,8563,3830,4870,3282,2576,1863
,,無効票＋他,,,,2540,360,581,205,226,269,314,49,83,35,157,62,54,67,43,35
,,有効票,,,,155790,26788,37108,13854,14991,15670,16610,2912,1380,1911,8406,3768,4816,3215,2533,1828

当,重複,緑川貴士,立民,前,36歳,81845,13873,21495,6591,7976,8139,8627,1668,657,890,4072,1636,2497,1693,1200,831
,,得票率,(％),,,52.54,51.79,57.93,47.57,53.21,51.94,51.94,57.28,47.61,46.57,48.44,43.42,51.85,52.66,47.37,45.46
,重複,金田勝年,自民,前,72歳,73945,12915,15613,7263,7015,7531,7983,1244,723,1021,4334,2132,2319,1522,1333,997
,,得票率,(％),,,47.46,48.21,42.07,52.43,46.79,48.06,48.06,42.72,52.39,53.43,51.56,56.58,48.15,47.34,52.63,54.54


,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,秋田３区
,,開票所名,,,,計,横手市,湯沢市,由利本荘市,大仙市,にかほ市,仙北市,美郷町,羽後町,東成瀬村
,,有権者数,,,,320409,75401,38019,64790,68467,20660,22162,16433,12357,2120
,,投票率,(％),,,55.89,52.43,55.60,52.29,56.99,70.39,59.77,55.67,56.33,75.09

,,投票者数,,,,179062,39531,21140,33881,39021,14542,13246,9148,6961,1592
,,無効票＋他,,,,6210,1318,688,1815,765,750,395,221,222,36
,,有効票,,,,172852,38213,20452,32066,38256,13792,12851,8927,6739,1556

当,重複,御法川信英,自民,前,57歳,134734,28244,16142,23952,31882,10689,10592,7195,5050,988
,,得票率,(％),,,77.95,73.91,78.93,74.70,83.34,77.50,82.42,80.60,74.94,63.50
,,杉山彰,共産,新,55歳,38118,9969,4310,8114,6374,3103,2259,1732,1689,568
,,得票率,(％),,,22.05,26.09,21.07,25.30,16.66,22.50,17.58,19.40,25.06,36.50


