,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,長野１区
,,開票所名,,,,計,小布施町,高山村,山ノ内町,木島平村,野沢温泉村,栄村,長野市１区,須坂市,中野市,飯山市
,,有権者数,,,,425440,9203,5760,10308,3904,2954,1550,295770,42068,36524,17399
,,投票率,(％),,,59.74,64.08,64.83,60.12,68.65,68.35,78.19,60.03,56.21,55.86,62.08

,,投票者数,,,,254146,5897,3734,6197,2680,2019,1212,177556,23647,20403,10801
,,無効票＋他,,,,3761,101,35,78,29,33,19,2730,324,279,133
,,有効票,,,,250385,5796,3699,6119,2651,1986,1193,174826,23323,20124,10668

当,重複,若林健太,自民,新,57歳,128423,2956,2108,3123,1206,1092,634,91311,11772,8939,5282
,,得票率,(％),,,51.29,51.00,56.99,51.04,45.49,54.98,53.14,52.23,50.47,44.42,49.51
,重複,篠原孝,立民,前,73歳,121962,2840,1591,2996,1445,894,559,83515,11551,11185,5386
,,得票率,(％),,,48.71,49.00,43.01,48.96,54.51,45.02,46.86,47.77,49.53,55.58,50.49


,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,長野２区
,,開票所名,,,,計,麻績村,生坂村,山形村,朝日村,筑北村,池田町,松川村,白馬村,小谷村,信濃町,飯綱町,小川村,長野市２区,松本市,大町市,安曇野市
,,有権者数,,,,382123,2299,1505,7090,3778,3838,8346,8202,7026,2337,7032,9381,2125,17635,197106,22907,81516
,,投票率,(％),,,57.03,66.86,66.84,60.68,57.99,80.04,62.20,59.55,65.78,69.28,59.60,57.71,72.56,61.60,55.26,56.16,56.07

,,投票者数,,,,217925,1537,1006,4302,2191,3072,5191,4884,4622,1619,4191,5414,1542,10864,108916,12865,45709
,,無効票＋他,,,,4550,30,26,109,36,71,122,77,117,38,69,98,25,296,2373,292,771
,,有効票,,,,213375,1507,980,4193,2155,3001,5069,4807,4505,1581,4122,5316,1517,10568,106543,12573,44938

当,重複,下条みつ,立民,前,65歳,101391,789,428,2153,1008,1517,2729,2496,2113,680,2267,2936,725,5429,48642,6426,21053
,,得票率,(％),,,47.52,52.36,43.67,51.35,46.77,50.55,53.84,51.92,46.90,43.01,55.00,55.23,47.79,51.37,45.65,51.11,46.85
,重複,務台俊介,自民,前,65歳,68958,532,436,1279,790,1099,1512,1454,1566,683,1419,1767,665,4071,33522,3948,14215
,,得票率,(％),,,32.32,35.30,44.49,30.50,36.66,36.62,29.83,30.25,34.76,43.20,34.43,33.24,43.84,38.52,31.46,31.40,31.63
,重複,手塚大輔,維新,新,38歳,43026,186,116,761,357,385,828,857,826,218,436,613,127,1068,24379,2199,9670
,,得票率,(％),,,20.16,12.34,11.84,18.15,16.57,12.83,16.33,17.83,18.34,13.79,10.58,11.53,8.37,10.11,22.88,17.49,21.52


,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,長野３区
,,開票所名,,,,計,小海町,佐久穂町,川上村,南牧村,南相木村,北相木村,軽井沢町,御代田町,立科町,長和町,青木村,坂城町,上田市,小諸市,佐久市,千曲市,東御市
,,有権者数,,,,399168,3883,9199,3112,2428,848,579,17651,13141,5990,5146,3670,12173,128871,35056,82134,50486,24801
,,投票率,(％),,,59.32,68.84,68.03,62.18,70.47,76.65,78.24,58.59,56.05,66.94,77.92,70.87,61.73,58.00,55.79,59.84,56.99,60.60

,,投票者数,,,,236785,2673,6258,1935,1711,650,453,10341,7365,4010,4010,2601,7515,74749,19559,49151,28774,15030
,,無効票＋他,,,,3861,54,89,43,24,13,6,214,134,57,93,51,120,1234,331,727,472,199
,,有効票,,,,232924,2619,6169,1892,1687,637,447,10127,7231,3953,3917,2550,7395,73515,19228,48424,28302,14831

当,重複,井出庸生,自民,前,43歳,120023,1566,3685,1228,1068,373,292,4879,3645,1697,1751,1390,3808,35520,9863,27053,14404,7801
,,得票率,(％),,,51.53,59.79,59.73,64.90,63.31,58.56,65.32,48.18,50.41,42.93,44.70,54.51,51.49,48.32,51.29,55.87,50.89,52.60
,重複,神津健,立民,新,44歳,109179,1027,2401,642,597,261,152,5059,3454,2187,2093,1129,3500,36651,9055,20719,13468,6784
,,得票率,(％),,,46.87,39.21,38.92,33.93,35.39,40.97,34.00,49.96,47.77,55.33,53.43,44.27,47.33,49.86,47.09,42.79,47.59,45.74
,重複,池高生,Ｎ党,新,53歳,3722,26,83,22,22,3,3,189,132,69,73,31,87,1344,310,652,430,246
,,得票率,(％),,,1.60,0.99,1.35,1.16,1.30,0.47,0.67,1.87,1.83,1.75,1.86,1.22,1.18,1.83,1.61,1.35,1.52,1.66


,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,長野４区
,,開票所名,,,,計,下諏訪町,富士見町,原村,上松町,南木曽町,木曽町,木祖村,王滝村,大桑村,岡谷市,諏訪市,茅野市,塩尻市
,,有権者数,,,,240401,16642,12027,6688,3678,3433,9207,2378,645,3071,40908,40602,45805,55317
,,投票率,(％),,,59.37,59.85,65.48,62.04,69.47,69.21,71.27,74.56,77.21,71.67,59.06,58.30,56.97,55.76

,,投票者数,,,,142722,9961,7875,4149,2555,2376,6562,1773,498,2201,24161,23670,26096,30845
,,無効票＋他,,,,3838,286,197,104,60,50,165,38,18,48,598,681,728,865
,,有効票,,,,138884,9675,7678,4045,2495,2326,6397,1735,480,2153,23563,22989,25368,29980

当,重複,後藤茂之,自民,前,65歳,86962,5791,4626,2423,1613,1529,4355,1226,355,1386,14481,15338,15698,18141
,,得票率,(％),,,62.61,59.86,60.25,59.90,64.65,65.74,68.08,70.66,73.96,64.38,61.46,66.72,61.88,60.51
,,長瀬由希子,共産,新,53歳,51922,3884,3052,1622,882,797,2042,509,125,767,9082,7651,9670,11839
,,得票率,(％),,,37.39,40.14,39.75,40.10,35.35,34.26,31.92,29.34,26.04,35.62,38.54,33.28,38.12,39.49


,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,長野５区
