,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,富山１区
,,開票所名,,,,計,富山市１区
,,有権者数,,,,267782,267782
,,投票率,(％),,,52.43,52.43

,,投票者数,,,,140400,140400
,,無効票＋他,,,,1930,1930
,,有効票,,,,138470,138470

当,重複,田畑裕明,自民,前,48歳,71696,71696
,,得票率,(％),,,51.78,51.78
,重複,吉田豊史,維新,元,51歳,45411,45411
,,得票率,(％),,,32.79,32.79
,重複,西尾政英,立民,新,60歳,14563,14563
,,得票率,(％),,,10.52,10.52
,,青山了介,共産,新,46歳,6800,6800
,,得票率,(％),,,4.91,4.91


,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,富山２区
,,開票所名,,,,計,富山市２区,魚津市,滑川市,黒部市,舟橋村,上市町,立山町,入善町,朝日町
,,有権者数,,,,247492,78351,35089,27721,34476,2547,17223,21515,20470,10100
,,投票率,(％),,,54.22,49.40,53.91,53.89,55.78,61.05,52.99,52.84,66.97,65.75

,,投票者数,,,,134187,38702,18918,14939,19229,1555,9127,11368,13708,6641
,,無効票＋他,,,,3594,1328,436,396,476,48,244,330,176,160
,,有効票,,,,130593,37374,18482,14543,18753,1507,8883,11038,13532,6481

当,重複,上田英俊,自民,新,56歳,89341,24783,11149,9421,13021,1043,5748,7282,11961,4933
,,得票率,(％),,,68.41,66.31,60.32,64.78,69.43,69.21,64.71,65.97,88.39,76.11
,重複,越川康晴,立民,新,57歳,41252,12591,7333,5122,5732,464,3135,3756,1571,1548
,,得票率,(％),,,31.59,33.69,39.68,35.22,30.57,30.79,35.29,34.03,11.61,23.89


,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,富山３区
,,開票所名,,,,計,高岡市,氷見市,砺波市,小矢部市,南砺市,射水市
,,有権者数,,,,364742,142669,39617,39874,24993,41935,75654
,,投票率,(％),,,59.06,61.67,52.56,59.21,59.49,64.59,54.23

,,投票者数,,,,215400,87983,20824,23608,14869,27086,41030
,,無効票＋他,,,,9368,4832,620,836,615,946,1519
,,有効票,,,,206032,83151,20204,22772,14254,26140,39511

当,重複,橘慶一郎,自民,前,60歳,161818,65087,16478,18307,11464,21079,29403
,,得票率,(％),,,78.54,78.28,81.56,80.39,80.43,80.64,74.42
,,坂本洋史,共産,新,51歳,44214,18064,3726,4465,2790,5061,10108
,,得票率,(％),,,21.46,21.72,18.44,19.61,19.57,19.36,25.58


