,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,栃木１区
,,開票所名,,,,計,宇都宮市１区,下野市１区,上三川町
,,有権者数,,,,434814,392155,16877,25782
,,投票率,(％),,,52.42,52.20,57.07,52.70

,,投票者数,,,,227908,204690,9632,13586
,,無効票＋他,,,,5010,4548,186,276
,,有効票,,,,222898,200142,9446,13310

当,重複,船田元,自民,前,67歳,102870,91497,4561,6812
,,得票率,(％),,,46.15,45.72,48.28,51.18
,重複,渡辺典喜,立民,新,38歳,66700,60016,2808,3876
,,得票率,(％),,,29.92,29.99,29.73,29.12
,重複,柏倉祐司,維新,元,52歳,43935,40191,1658,2086
,,得票率,(％),,,19.71,20.08,17.55,15.67
,,青木弘,共産,新,60歳,9393,8438,419,536
,,得票率,(％),,,4.21,4.22,4.44,4.03


,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,栃木２区
,,開票所名,,,,計,宇都宮市２区,栃木市２区,鹿沼市,日光市,さくら市,塩谷町,高根沢町
,,有権者数,,,,262690,37386,5148,80842,68835,36282,9417,24780
,,投票率,(％),,,53.75,53.95,57.09,52.89,53.07,54.49,56.99,55.09

,,投票者数,,,,141190,20171,2939,42757,36533,19771,5367,13652
,,無効票＋他,,,,3344,600,67,784,751,547,172,423
,,有効票,,,,137846,19571,2872,41973,35782,19224,5195,13229

当,重複,福田昭夫,立民,前,73歳,73593,10656,1332,21694,20437,9787,3170,6517
,,得票率,(％),,,53.39,54.45,46.38,51.69,57.12,50.91,61.02,49.26
,重複,五十嵐清,自民,新,51歳,64253,8915,1540,20279,15345,9437,2025,6712
,,得票率,(％),,,46.61,45.55,53.62,48.31,42.88,49.09,38.98,50.74


,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,栃木３区
,,開票所名,,,,計,大田原市,矢板市,那須塩原市,那須烏山市,那須町,那珂川町
,,有権者数,,,,241014,59382,27037,97227,21999,21707,13662
,,投票率,(％),,,52.07,51.89,52.98,50.75,52.28,57.01,52.20

,,投票者数,,,,125494,30816,14323,49345,11502,12376,7132
,,無効票＋他,,,,3270,681,438,1423,315,302,111
,,有効票,,,,122224,30135,13885,47922,11187,12074,7021

当,重複,簗和生,自民,前,42歳,82398,21529,8775,32124,7178,7930,4862
,,得票率,(％),,,67.42,71.44,63.20,67.03,64.16,65.68,69.25
,重複,伊賀央,立民,新,57歳,39826,8606,5110,15798,4009,4144,2159
,,得票率,(％),,,32.58,28.56,36.80,32.97,35.84,34.32,30.75


,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,栃木４区
,,開票所名,,,,計,栃木市４区,小山市,真岡市,下野市４区,益子町,茂木町,市貝町,芳賀町,壬生町,野木町
,,有権者数,,,,402456,62059,135825,64215,33430,19005,10925,9819,13031,32636,21511
,,投票率,(％),,,55.37,53.34,53.83,54.42,56.41,60.57,63.79,59.97,61.68,56.25,56.12

,,投票者数,,,,222858,33104,73111,34949,18857,11511,6969,5888,8037,18359,12073
,,無効票＋他,,,,3952,644,1249,586,370,254,78,112,113,335,211
,,有効票,,,,218906,32460,71862,34363,18487,11257,6891,5776,7924,18024,11862

当,重複,佐藤勉,自民,前,69歳,111863,16866,30891,18461,9731,6312,4339,3036,4544,11803,5880
,,得票率,(％),,,51.10,51.96,42.99,53.72,52.64,56.07,62.97,52.56,57.34,65.48,49.57
,重複,藤岡隆雄,立民,新,44歳,107043,15594,40971,15902,8756,4945,2552,2740,3380,6221,5982
,,得票率,(％),,,48.90,48.04,57.01,46.28,47.36,43.93,37.03,47.44,42.66,34.52,50.43


,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,栃木５区
,,開票所名,,,,計,足利市,栃木市５区,佐野市
,,有権者数,,,,284314,121511,64881,97922
,,投票率,(％),,,50.99,50.97,51.54,50.67

,,投票者数,,,,144981,61930,33438,49613
,,無効票＋他,,,,4888,2562,1044,1282
,,有効票,,,,140093,59368,32394,48331

当,重複,茂木敏充,自民,前,66歳,108380,46056,25699,36625
,,得票率,(％),,,77.36,77.58,79.33,75.78
,,岡村恵子,共産,新,68歳,31713,13312,6695,11706
,,得票率,(％),,,22.64,22.42,20.67,24.22


