,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,石川１区
,,開票所名,,,,計,金沢市
,,有権者数,,,,376122,376122
,,投票率,(％),,,52.20,52.20

,,投票者数,,,,196336,196336
,,無効票＋他,,,,4931,4931
,,有効票,,,,191405,191405

当,重複,小森卓郎,自民,新,51歳,88321,88321
,,得票率,(％),,,46.14,46.14
,重複,荒井淳志,立民,新,27歳,48491,48491
,,得票率,(％),,,25.33,25.33
,重複,小林誠,維新,新,44歳,45663,45663
,,得票率,(％),,,23.86,23.86
,,亀田良典,共産,新,72歳,8930,8930
,,得票率,(％),,,4.67,4.67


,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,石川２区
,,開票所名,,,,計,小松市,加賀市,白山市,能美市,野々市市,川北町
,,有権者数,,,,325273,88162,55210,93237,40332,43527,4805
,,投票率,(％),,,56.13,57.11,51.78,56.97,61.68,49.85,82.29

,,投票者数,,,,182584,50349,28589,53119,24876,21697,3954
,,無効票＋他,,,,7871,2167,1153,2422,983,996,150
,,有効票,,,,174713,48182,27436,50697,23893,20701,3804

当,重複,佐々木紀,自民,前,47歳,137032,38679,21453,38809,19438,15332,3321
,,得票率,(％),,,78.43,80.28,78.19,76.55,81.35,74.06,87.30
,,坂本浩,共産,新,57歳,27049,6734,4617,8217,3419,3732,330
,,得票率,(％),,,15.48,13.98,16.83,16.21,14.31,18.03,8.68
,,山本保彦,無,新,68歳,10632,2769,1366,3671,1036,1637,153
,,得票率,(％),,,6.09,5.75,4.98,7.24,4.34,7.91,4.02


,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,石川３区
,,開票所名,,,,計,七尾市,輪島市,珠洲市,羽咋市,かほく市,津幡町,内灘町,志賀町,宝達志水町,中能登町,穴水町,能登町
,,有権者数,,,,243618,43669,22397,12204,18160,29622,31167,21954,17104,10975,14786,6995,14585
,,投票率,(％),,,66.09,66.74,70.87,71.55,66.69,64.29,59.47,58.88,67.20,67.74,71.09,71.58,69.94

,,投票者数,,,,161011,29146,15872,8732,12110,19043,18534,12926,11494,7434,10512,5007,10201
,,無効票＋他,,,,1984,270,190,89,120,297,307,233,89,98,103,65,123
,,有効票,,,,159027,28876,15682,8643,11990,18746,18227,12693,11405,7336,10409,4942,10078

当,重複,西田昭二,自民,前,52歳,80692,14995,9225,4832,5699,8808,9332,5952,6041,3436,4033,2697,5642
,,得票率,(％),,,50.74,51.93,58.83,55.91,47.53,46.99,51.20,46.89,52.97,46.84,38.75,54.57,55.98
,重複,近藤和也,立民,前,47歳,76747,13724,6343,3750,6210,9660,8457,6521,5304,3849,6330,2224,4375
,,得票率,(％),,,48.26,47.53,40.45,43.39,51.79,51.53,46.40,51.37,46.51,52.47,60.81,45.00,43.41
,,倉知昭一,無,新,85歳,1588,157,114,61,81,278,438,220,60,51,46,21,61
,,得票率,(％),,,1.00,0.54,0.73,0.71,0.68,1.48,2.40,1.73,0.53,0.70,0.44,0.42,0.61


