,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,岐阜１区
,,開票所名,,,,計,岐阜市岐阜
,,有権者数,,,,326022,326022
,,投票率,(％),,,52.31,52.31

,,投票者数,,,,170539,170539
,,無効票＋他,,,,4561,4561
,,有効票,,,,165978,165978

当,重複,野田聖子,自民,前,61歳,103805,103805
,,得票率,(％),,,62.54,62.54
,重複,川本慧佑,立民,新,30歳,48629,48629
,,得票率,(％),,,29.30,29.30
,,山越徹,共産,新,51歳,9846,9846
,,得票率,(％),,,5.93,5.93
,,土田正光,諸派,新,77歳,3698,3698
,,得票率,(％),,,2.23,2.23


,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,岐阜２区
,,開票所名,,,,計,大垣市,海津市,養老町,垂井町,関ケ原町,神戸町,輪之内町,安八町,揖斐川町,大野町,池田町
,,有権者数,,,,300608,130554,28291,23491,21874,5835,15765,7560,12025,17408,18606,19199
,,投票率,(％),,,56.09,53.38,55.88,53.68,58.85,69.96,59.39,53.15,56.91,65.38,56.42,59.63

,,投票者数,,,,168620,69694,15810,12609,12873,4082,9363,4018,6843,11381,10498,11449
,,無効票＋他,,,,3312,1392,288,211,238,85,188,72,148,224,239,227
,,有効票,,,,165308,68302,15522,12398,12635,3997,9175,3946,6695,11157,10259,11222

当,重複,棚橋泰文,自民,前,58歳,108755,43399,10430,8715,8143,2638,5748,2786,4623,7882,6842,7549
,,得票率,(％),,,65.79,63.54,67.19,70.29,64.45,66.00,62.65,70.60,69.05,70.65,66.69,67.27
,重複,大谷由里子,国民,新,58歳,40179,17566,3584,2647,3303,818,2334,844,1526,2366,2529,2662
,,得票率,(％),,,24.31,25.72,23.09,21.35,26.14,20.47,25.44,21.39,22.79,21.21,24.65,23.72
,,三尾圭司,共産,新,45歳,16374,7337,1508,1036,1189,541,1093,316,546,909,888,1011
,,得票率,(％),,,9.91,10.74,9.72,8.36,9.41,13.54,11.91,8.01,8.16,8.15,8.66,9.01


,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,岐阜３区
,,開票所名,,,,計,岐阜市柳津,関市,美濃市,羽島市,各務原市,山県市,瑞穂市,本巣市,岐南町,笠松町,北方町
,,有権者数,,,,422993,11010,71676,16873,55536,120500,22214,43249,27591,20989,18307,15048
,,投票率,(％),,,54.55,50.54,55.99,60.99,52.81,55.65,57.06,51.31,53.97,50.15,55.53,52.57

,,投票者数,,,,230739,5565,40131,10291,29330,67061,12676,22193,14890,10526,10165,7911
,,無効票＋他,,,,4766,122,796,155,658,1318,295,483,277,250,208,204
,,有効票,,,,225973,5443,39335,10136,28672,65743,12381,21710,14613,10276,9957,7707

当,重複,武藤容治,自民,前,66歳,132357,3322,22837,6026,17534,36916,7614,12454,8978,6215,5993,4468
,,得票率,(％),,,58.57,61.03,58.06,59.45,61.15,56.15,61.50,57.37,61.44,60.48,60.19,57.97
,重複,阪口直人,立民,元,58歳,93616,2121,16498,4110,11138,28827,4767,9256,5635,4061,3964,3239
,,得票率,(％),,,41.43,38.97,41.94,40.55,38.85,43.85,38.50,42.63,38.56,39.52,39.81,42.03


,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,岐阜４区
,,開票所名,,,,計,高山市,美濃加茂市,可児市,飛騨市,郡上市,下呂市,坂祝町,富加町,川辺町,七宗町,八百津町,白川町,東白川村,御嵩町,白川村
,,有権者数,,,,330497,72106,42573,79016,20002,33881,26434,6410,4604,8364,3158,9122,6787,1897,14850,1293
,,投票率,(％),,,66.37,70.05,59.44,58.18,73.31,75.16,73.32,61.26,69.09,66.95,72.64,69.69,76.09,77.39,60.23,86.39

,,投票者数,,,,219353,50511,25306,45974,14664,25465,19381,3927,3181,5600,2294,6357,5164,1468,8944,1117
,,無効票＋他,,,,2984,656,405,680,166,348,253,49,41,72,18,81,70,9,115,21
,,有効票,,,,216369,49855,24901,45294,14498,25117,19128,3878,3140,5528,2276,6276,5094,1459,8829,1096

当,重複,金子俊平,自民,前,43歳,110844,29659,11010,18649,8423,14798,9943,1763,1631,2387,1183,2927,2716,862,4087,806
,,得票率,(％),,,51.23,59.49,44.22,41.17,58.10,58.92,51.98,45.46,51.94,43.18,51.98,46.64,53.32,59.08,46.29,73.54
,重複,今井雅人,立民,前,59歳,91354,17544,12212,21461,5471,9116,8310,1856,1343,2818,1029,3070,2215,555,4107,247
,,得票率,(％),,,42.22,35.19,49.04,47.38,37.74,36.29,43.44,47.86,42.77,50.98,45.21,48.92,43.48,38.04,46.52,22.54
,重複,佐伯哲也,維新,新,51歳,14171,2652,1679,5184,604,1203,875,259,166,323,64,279,163,42,635,43
,,得票率,(％),,,6.55,5.32,6.74,11.45,4.17,4.79,4.57,6.68,5.29,5.84,2.81,4.45,3.20,2.88,7.19,3.92


,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,岐阜５区
,,開票所名,,,,計,多治見市,中津川市,瑞浪市,恵那市,土岐市
,,有権者数,,,,273847,91414,63753,30641,40940,47099
,,投票率,(％),,,62.72,59.81,64.33,64.07,67.28,61.36

,,投票者数,,,,171763,54671,41015,19631,27544,28902
,,無効票＋他,,,,2351,843,534,301,296,377
,,有効票,,,,169412,53828,40481,19330,27248,28525

当,重複,古屋圭司,自民,前,69歳,82140,22578,20599,9980,15365,13618
,,得票率,(％),,,48.49,41.94,50.89,51.63,56.39,47.74
,重複,今井瑠々,立民,新,25歳,68615,26005,14861,7329,8865,11555
,,得票率,(％),,,40.50,48.31,36.71,37.92,32.53,40.51
,重複,山田良司,維新,元,61歳,9921,3268,2531,1214,1373,1535
,,得票率,(％),,,5.86,6.07,6.25,6.28,5.04,5.38
,,小関祥子,共産,新,68歳,8736,1977,2490,807,1645,1817
,,得票率,(％),,,5.16,3.67,6.15,4.17,6.04,6.37


