,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,京都１区
,,開票所名,,,,計,京都市北区,京都市上京区,京都市中京区,京都市下京区,京都市南区
,,有権者数,,,,390373,91759,63499,88685,64958,81472
,,投票率,(％),,,55.90,57.71,59.56,58.02,54.66,49.68

,,投票者数,,,,218203,52955,37817,51451,35506,40474
,,無効票＋他,,,,4757,1058,846,1129,827,897
,,有効票,,,,213446,51897,36971,50322,34679,39577

当,重複,勝目康,自民,新,47歳,86238,20181,15649,19969,14399,16040
,,得票率,(％),,,40.40,38.89,42.33,39.68,41.52,40.53
,重複,穀田恵二,共産,前,74歳,65201,17829,11641,15201,9616,10914
,,得票率,(％),,,30.55,34.35,31.49,30.21,27.73,27.58
,重複,堀場幸子,維新,新,42歳,62007,13887,9681,15152,10664,12623
,,得票率,(％),,,29.05,26.76,26.19,30.11,30.75,31.89


,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,京都２区
,,開票所名,,,,計,京都市左京区,京都市東山区,京都市山科区
,,有権者数,,,,264808,125204,29305,110299
,,投票率,(％),,,57.14,61.73,54.92,52.52

,,投票者数,,,,151310,77283,16094,57933
,,無効票＋他,,,,2980,1350,314,1316
,,有効票,,,,148330,75933,15780,56617

当,重複,前原誠司,国民,前,59歳,72516,37507,7238,27771
,,得票率,(％),,,48.89,49.39,45.87,49.05
,重複,繁本護,自民,前,48歳,43291,19702,5383,18206
,,得票率,(％),,,29.19,25.95,34.11,32.16
,,地坂拓晃,共産,新,48歳,25260,14915,2378,7967
,,得票率,(％),,,17.03,19.64,15.07,14.07
,重複,中辰哉,れ新,新,45歳,7263,3809,781,2673
,,得票率,(％),,,4.90,5.02,4.95,4.72


,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,京都３区
,,開票所名,,,,計,京都市伏見区,向日市,長岡京市,大山崎町
,,有権者数,,,,353915,226124,47218,67105,13468
,,投票率,(％),,,53.52,50.63,57.26,58.39,64.75

,,投票者数,,,,189424,114480,27039,39184,8721
,,無効票＋他,,,,4203,2652,595,785,171
,,有効票,,,,185221,111828,26444,38399,8550

当,重複,泉健太,立民,前,47歳,89259,54548,12206,18644,3861
,,得票率,(％),,,48.19,48.78,46.16,48.55,45.16
,重複,木村弥生,自民,前,56歳,61674,37166,9234,12504,2770
,,得票率,(％),,,33.30,33.23,34.92,32.56,32.40
,重複,井上博明,維新,新,64歳,34288,20114,5004,7251,1919
,,得票率,(％),,,18.51,17.99,18.92,18.88,22.44


,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,京都４区
,,開票所名,,,,計,京都市右京区,京都市西京区,亀岡市,南丹市,京丹波町
,,有権者数,,,,396960,162412,122678,73450,26573,11847
,,投票率,(％),,,56.21,54.58,54.93,57.11,64.10,68.63

,,投票者数,,,,223148,88649,67385,41950,17033,8131
