,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,滋賀１区
,,開票所名,,,,計,大津市,高島市
,,有権者数,,,,324354,283903,40451
,,投票率,(％),,,58.90,58.14,64.25

,,投票者数,,,,191059,165070,25989
,,無効票＋他,,,,4379,3832,547
,,有効票,,,,186680,161238,25442

当,重複,大岡敏孝,自民,前,49歳,97482,81811,15671
,,得票率,(％),,,52.22,50.74,61.60
,重複,斎藤アレックス,国民,新,36歳,84106,74966,9140
,,得票率,(％),,,45.05,46.49,35.92
,重複,日高千穂,Ｎ党,新,42歳,5092,4461,631
,,得票率,(％),,,2.73,2.77,2.48


,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,滋賀２区
,,開票所名,,,,計,彦根市,長浜市,東近江市２区,米原市,愛荘町,豊郷町,甲良町,多賀町
,,有権者数,,,,263110,91713,94708,10638,31897,16424,5808,5695,6227
,,投票率,(％),,,56.93,54.55,58.48,52.61,59.33,56.02,54.56,58.72,66.60

,,投票者数,,,,149792,50031,55381,5597,18923,9200,3169,3344,4147
,,無効票＋他,,,,2171,813,693,81,228,178,52,61,65
,,有効票,,,,147621,49218,54688,5516,18695,9022,3117,3283,4082

当,重複,上野賢一郎,自民,前,56歳,83502,24737,34484,2986,10399,5077,1808,1830,2181
,,得票率,(％),,,56.57,50.26,63.06,54.13,55.62,56.27,58.00,55.74,53.43
,重複,田島一成,立民,元,59歳,64119,24481,20204,2530,8296,3945,1309,1453,1901
,,得票率,(％),,,43.43,49.74,36.94,45.87,44.38,43.73,42.00,44.26,46.57


,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,滋賀３区
,,開票所名,,,,計,草津市,守山市,栗東市,野洲市
,,有権者数,,,,274521,110286,67179,55506,41550
,,投票率,(％),,,57.43,57.81,59.13,54.93,57.03

,,投票者数,,,,157668,63761,39724,30487,23696
,,無効票＋他,,,,2537,1023,642,491,381
,,有効票,,,,155131,62738,39082,29996,23315

当,重複,武村展英,自民,前,49歳,81888,32582,20766,15968,12572
,,得票率,(％),,,52.79,51.93,53.13,53.23,53.92
,重複,直山仁,維新,新,49歳,41593,17380,10241,7993,5979
,,得票率,(％),,,26.81,27.70,26.20,26.65,25.64
,,佐藤耕平,共産,新,39歳,20423,8218,5186,3825,3194
,,得票率,(％),,,13.17,13.10,13.27,12.75,13.70
,重複,高井崇志,れ新,前,52歳,11227,4558,2889,2210,1570
,,得票率,(％),,,7.24,7.27,7.39,7.37,6.73


,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,滋賀４区
,,開票所名,,,,計,近江八幡市,甲賀市,湖南市,東近江市４区,日野町,竜王町
,,有権者数,,,,291102,67140,72589,43318,80825,17392,9838
,,投票率,(％),,,55.83,58.42,56.16,52.63,52.37,62.32,66.78

,,投票者数,,,,162525,39222,40766,22799,42329,10839,6570
,,無効票＋他,,,,3647,864,1007,556,860,199,161
,,有効票,,,,158878,38358,39759,22243,41469,10640,6409

当,重複,小寺裕雄,自民,前,61歳,86762,18474,22733,11261,24414,6127,3753
,,得票率,(％),,,54.61,48.16,57.18,50.63,58.87,57.58,58.56
,重複,徳永久志,立民,新,58歳,72116,19884,17026,10982,17055,4513,2656
,,得票率,(％),,,45.39,51.84,42.82,49.37,41.13,42.42,41.44


