,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,熊本１区
,,開票所名,,,,計,熊本市中央区,熊本市東区,熊本市北区
,,有権者数,,,,421038,148296,155367,117375
,,投票率,(％),,,52.91,52.78,53.10,52.81

,,投票者数,,,,222751,78274,82497,61980
,,無効票＋他,,,,7538,2515,3018,2005
,,有効票,,,,215213,75759,79479,59975

当,重複,木原稔,自民,前,52歳,131371,44439,49484,37448
,,得票率,(％),,,61.04,58.66,62.26,62.44
,重複,濱田大造,立民,新,51歳,83842,31320,29995,22527
,,得票率,(％),,,38.96,41.34,37.74,37.56


,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,熊本２区
,,開票所名,,,,計,熊本市西区,熊本市南区,荒尾市,玉名市,玉東町,和水町,南関町,長洲町
,,有権者数,,,,314184,76566,106756,43000,54264,4321,8354,7978,12945
,,投票率,(％),,,58.67,56.98,56.64,55.98,63.49,67.11,68.97,60.57,63.48

,,投票者数,,,,184330,43626,60468,24070,34454,2900,5762,4832,8218
,,無効票＋他,,,,2408,596,763,358,414,34,59,82,102
,,有効票,,,,181922,43030,59705,23712,34040,2866,5703,4750,8116

当,,西野太亮,無,新,43歳,110310,26494,36354,13559,21292,1430,3297,2933,4951
,,得票率,(％),,,60.64,61.57,60.89,57.18,62.55,49.90,57.81,61.75,61.00
,,野田毅,自民,前,80歳,60091,13559,20043,7719,11179,1323,2196,1496,2576
,,得票率,(％),,,33.03,31.51,33.57,32.55,32.84,46.16,38.51,31.49,31.74
,,橋田芳昭,共産,新,66歳,11521,2977,3308,2434,1569,113,210,321,589
,,得票率,(％),,,6.33,6.92,5.54,10.26,4.61,3.94,3.68,6.76,7.26


,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,熊本３区
,,開票所名,,,,計,山鹿市,菊池市,阿蘇市,合志市,大津町,菊陽町,南小国町,小国町,産山村,高森町,南阿蘇村,西原村,御船町,嘉島町,益城町,甲佐町,山都町
,,有権者数,,,,315296,42738,39503,21423,49270,28155,33881,3282,5880,1206,5311,8941,5523,14170,7722,27017,8772,12502
,,投票率,(％),,,57.37,56.21,54.70,58.71,55.90,55.88,55.08,65.08,67.91,68.74,63.92,63.14,61.25,58.88,56.02,55.85,56.22,69.42

,,投票者数,,,,180899,24023,21609,12578,27544,15733,18660,2136,3993,829,3395,5645,3383,8344,4326,15090,4932,8679
,,無効票＋他,,,,5000,606,684,401,731,344,517,51,126,21,64,168,91,239,109,425,136,287
,,有効票,,,,175899,23417,20925,12177,26813,15389,18143,2085,3867,808,3331,5477,3292,8105,4217,14665,4796,8392

当,重複,坂本哲志,自民,前,70歳,125158,16845,15232,8426,18058,11449,12207,1577,3047,633,2588,3978,2460,5580,3033,10093,3369,6583
,,得票率,(％),,,71.15,71.93,72.79,69.20,67.35,74.40,67.28,75.64,78.79,78.34,77.69,72.63,74.73,68.85,71.92,68.82,70.25,78.44
,重複,馬場功世,社民,新,70歳,37832,4793,4320,2829,6680,2777,4492,385,588,126,537,1143,569,1902,851,3371,1074,1395
,,得票率,(％),,,21.51,20.47,20.65,23.23,24.91,18.05,24.76,18.47,15.21,15.59,16.12,20.87,17.28,23.47,20.18,22.99,22.39,16.62
,,本間明子,Ｎ党,新,40歳,12909,1779,1373,922,2075,1163,1444,123,232,49,206,356,263,623,333,1201,353,414
,,得票率,(％),,,7.34,7.60,6.56,7.57,7.74,7.56,7.96,5.90,6.00,6.06,6.18,6.50,7.99,7.69,7.90,8.19,7.36,4.93


,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,熊本４区
,,開票所名,,,,計,八代市,人吉市,水俣市,天草市,宇土市,上天草市,宇城市,美里町,氷川町,芦北町,津奈木町,錦町,あさぎり町,多良木町,湯前町,水上村,相良村,五木村,山江村,球磨村,苓北町
,,有権者数,,,,404286,103801,26354,20104,66433,30391,22573,48696,8445,9680,14286,3841,8529,12313,7805,3230,1775,3618,931,2719,2894,5868
,,投票率,(％),,,57.50,51.79,59.83,59.01,62.03,53.43,55.33,52.26,57.70,54.42,65.60,65.17,65.01,69.86,63.50,68.95,77.75,69.51,78.52,72.42,72.53,62.29

,,投票者数,,,,232473,53760,15767,11863,41211,16238,12490,25450,4873,5268,9371,2503,5545,8602,4956,2227,1380,2515,731,1969,2099,3655
,,無効票＋他,,,,3935,776,248,181,865,318,247,448,141,47,131,21,87,114,86,40,26,42,6,36,27,48
,,有効票,,,,228538,52984,15519,11682,40346,15920,12243,25002,4732,5221,9240,2482,5458,8488,4870,2187,1354,2473,725,1933,2072,3607

当,重複,金子恭之,自民,前,60歳,155572,35325,9858,7707,28810,9999,8529,15861,3428,3671,6533,1861,3818,6509,3432,1693,1095,1386,596,1498,1528,2435
,,得票率,(％),,,68.07,66.67,63.52,65.97,71.41,62.81,69.66,63.44,72.44,70.31,70.70,74.98,69.95,76.68,70.47,77.41,80.87,56.05,82.21,77.50,73.75,67.51
,重複,矢上雅義,立民,前,61歳,72966,17659,5661,3975,11536,5921,3714,9141,1304,1550,2707,621,1640,1979,1438,494,259,1087,129,435,544,1172
,,得票率,(％),,,31.93,33.33,36.48,34.03,28.59,37.19,30.34,36.56,27.56,29.69,29.30,25.02,30.05,23.32,29.53,22.59,19.13,43.95,17.79,22.50,26.25,32.49


